codigo_producto,peso_neto_caja,cantidad_paquetes,peso_neto_paquete,caja_tipo_id,dim_producto_largo,dim_producto_ancho,dim_producto_alto,dim_producto_volumen
BR0001,12.5,5,2.5,a23eeef1c0cd8cfd40b780d65382034a,386.0,286.0,303.0,33449988.0
BR0002,9.75,13,0.75,3256a5fed07b421a92abee44a3d93243,395.0,296.0,260.0,30399200.0
BR0003,9.75,13,0.75,4f08f853cf7f9be28571df66a50bc322,388.0,288.0,164.0,18326016.0
BR0004,11.25,9,1.25,c96df5913565ba35f3e02e744c9a6dde,395.0,296.0,224.0,26190080.0
BR0005,9.75,13,0.75,eb4895380ccaa410da0fefb6f12b197b,386.0,286.0,253.0,27930188.0
BR0006,12.5,5,2.5,6d3c3bcdfc4034e3424078243e7668a1,386.0,286.0,286.0,31573256.0
BR0007,9.75,13,0.75,02cf77de65b70dd77905e2e33d78478f,395.0,296.0,291.0,34023720.0
BR0008,11.0,11,1.0,9a88ed4806deaa5c9b3abac82886d23a,386.0,286.0,184.0,20312864.0
BR0009,12.5,5,2.5,55b52b97c05b19dbbbefa191622fe36a,386.0,286.0,179.0,19760884.0
BR0010,9.75,13,0.75,116dda17a7b7fb82c62f462ef4a94218,386.0,286.0,164.0,18104944.0
BR0011,9.75,13,0.75,9d44d480026dfab07731a73d1d0c6539,388.0,288.0,283.0,31623552.0
BR0012,11.25,9,1.25,ad99ed562d5d808977b10fa512bfde8b,386.0,286.0,214.0,23624744.0
BR0013,6.5,13,0.5,c96df5913565ba35f3e02e744c9a6dde,395.0,296.0,224.0,26190080.0
BR0014,9.75,13,0.75,6bd5fa9e984e7243519003fc969aa30d,386.0,286.0,244.0,26936624.0
BR0015,9.75,13,0.75,6bd5fa9e984e7243519003fc969aa30d,386.0,286.0,244.0,26936624.0
BR0016,9.75,13,0.75,6bd5fa9e984e7243519003fc969aa30d,386.0,286.0,244.0,26936624.0
BR0017,9.75,13,0.75,c96df5913565ba35f3e02e744c9a6dde,395.0,296.0,224.0,26190080.0
BR0018,13.0,13,1.0,2060590a59a5c59ff1bb32dbffe1028b,386.0,286.0,288.0,31794048.0
BR0019,6.5,13,0.5,af25ed4a56d3b3317fc10fd23b427cc4,393.0,255.0,260.0,26055900.0
BR0020,12.5,5,2.5,a130566667d4be7bb38053adaefea0af,393.0,255.0,204.0,20443860.0
BR0021,12.5,5,2.5,1a3ffa8018de4637afcdd1e390e2602a,383.0,248.0,199.0,18901816.0
BR0022,12.5,5,2.5,9dbb448086386afae3321dda0441c688,393.0,255.0,230.0,23049450.0
BR0023,12.5,5,2.5,8f61ca662a88d3f0432d0d6a0cfbf2ee,383.0,248.0,179.0,17002136.0
BR0024,12.5,5,2.5,fa8da38322149b23e14a120e71d38975,393.0,255.0,235.0,23550525.0
BR0025,12.5,5,2.5,55b52b97c05b19dbbbefa191622fe36a,386.0,286.0,179.0,19760884.0
BR0026,12.5,5,2.5,79637c70988d89fe3abe191b59c1ed0c,388.0,288.0,219.0,24471936.0
BR0027,12.5,5,2.5,ad02b3d41b4467a5a65a742951a80e72,386.0,286.0,171.0,18877716.0
BR0028,12.5,5,2.5,4910b652fb2cf1c609d243a1e78d1919,386.0,286.0,217.0,23955932.0
BR0029,12.5,5,2.5,ad02b3d41b4467a5a65a742951a80e72,386.0,286.0,171.0,18877716.0
BR0030,12.5,5,2.5,6317bf81cd9d3fe0f209963e7fd234f7,380.0,282.0,172.0,18431520.0
BR0031,12.5,5,2.5,cb9988b0557e22e3abc2bbe0a56967d0,386.0,286.0,169.0,18656924.0
BR0032,12.5,5,2.5,bfcb33e665554321d0a93ce891eadb54,386.0,286.0,159.0,17552964.0
BR0033,11.0,11,1.0,a12aea41ad9864b83129274495d5d5b2,388.0,288.0,184.0,20560896.0
BR0034,9.75,13,0.75,d3d0a6587d8f983d383e032e2b9acacc,379.0,246.0,182.0,16968588.0
BR0035,12.5,5,2.5,162c41fa859810e889efa37f867819bb,395.0,296.0,214.0,25020880.0
BR0036,12.5,5,2.5,ceda63d824383fb94ca5e9bd08701d70,384.0,286.0,163.0,17901312.0
BR0037,12.5,5,2.5,37070e9f43f02e356af14131f16a3112,393.0,255.0,245.0,24552675.0
BR0038,12.5,5,2.5,fa8da38322149b23e14a120e71d38975,393.0,255.0,235.0,23550525.0
