codigo_producto,volumen_producto_total,volumen_producto_planta_buenos_aires,volumen_producto_planta_curitiba,volumen_producto_planta_santiago,volumen_producto_planta_monterrey,volumen_producto_planta_bakersfield,cantidad_pallets_planta_buenos_aires,cantidad_pallets_planta_curitiba,cantidad_pallets_planta_santiago,cantidad_pallets_planta_monterrey,cantidad_pallets_planta_bakersfield,cantidad_pallets_total,costo_total_planta_buenos_aires,costo_total_planta_curitiba,costo_total_planta_santiago,costo_total_planta_monterrey,costo_total_planta_bakersfield,costo_pallets_planta_buenos_aires,costo_pallets_planta_curitiba,costo_pallets_planta_santiago,costo_pallets_planta_monterrey,costo_pallets_planta_bakersfield,costo_pallets_total,costo_total
BR0001,1546613,0,1431746,26583,88284,0,0,35794,665,2208,0,38667,0.0,701555.54,18608.1,55618.92,0.0,0,5369100,99750,331200,0,5800050,775782.56
BR0002,139211,0,139211,0,0,0,0,2901,0,0,0,2901,0.0,72389.72,0.0,0.0,0.0,0,435150,0,0,0,435150,72389.72
BR0003,172506,0,0,0,0,172506,0,0,0,0,2157,2157,0.0,0.0,0.0,0.0,96603.36000000002,0,0,0,0,323550,323550,96603.36000000002
BR0004,271715,0,0,0,0,271715,0,0,0,0,4853,4853,0.0,0.0,0.0,0.0,141291.80000000002,0,0,0,0,727950,727950,141291.80000000002
BR0005,7586,0,7586,0,0,0,0,159,0,0,0,159,0.0,4248.160000000001,0.0,0.0,0.0,0,23850,0,0,0,23850,4248.160000000001
BR0006,6901,0,6901,0,0,0,0,144,0,0,0,144,0.0,5313.77,0.0,0.0,0.0,0,21600,0,0,0,21600,5313.77
BR0007,46847,0,46847,0,0,0,0,976,0,0,0,976,0.0,27405.495,0.0,0.0,0.0,0,146400,0,0,0,146400,27405.495
BR0008,14639,14639,0,0,0,0,204,0,0,0,0,204,9222.57,0.0,0.0,0.0,0.0,30600,0,0,0,0,30600,9222.57
BR0009,18019,2814,6406,4193,2112,2494,40,89,59,30,35,253,1378.86,3138.94,3228.61,1182.72,1920.38,6000,13350,8850,4500,5250,37950,10849.509999999998
BR0010,24339,0,24339,0,0,0,0,305,0,0,0,305,0.0,11926.11,0.0,0.0,0.0,0,45750,0,0,0,45750,11926.11
BR0011,13433,0,0,13433,0,0,0,0,280,0,0,280,0.0,0.0,10343.41,0.0,0.0,0,0,42000,0,0,42000,10343.41
BR0012,281875,0,0,0,0,281875,0,0,0,0,4405,4405,0.0,0.0,0.0,0.0,157850.00000000003,0,0,0,0,660750,660750,157850.00000000003
BR0013,153252,0,153252,0,0,0,0,2737,0,0,0,2737,0.0,79691.04000000001,0.0,0.0,0.0,0,410550,0,0,0,410550,79691.04000000001
BR0014,56319,0,0,0,0,56319,0,0,0,0,1006,1006,0.0,0.0,0.0,0.0,31538.640000000003,0,0,0,0,150900,150900,31538.640000000003
BR0015,30911,0,0,0,0,30911,0,0,0,0,552,552,0.0,0.0,0.0,0.0,17310.16,0,0,0,0,82800,82800,17310.16
BR0016,30466,0,0,0,0,30466,0,0,0,0,545,545,0.0,0.0,0.0,0.0,17060.960000000003,0,0,0,0,81750,81750,17060.960000000003
BR0017,131799,0,131799,0,0,0,0,2354,0,0,0,2354,0.0,68535.48,0.0,0.0,0.0,0,353100,0,0,0,353100,68535.48
BR0018,181571,0,0,0,0,181571,0,0,0,0,3783,3783,0.0,0.0,0.0,0.0,101679.76,0,0,0,0,567450,567450,101679.76
