codigo_producto,demanda_total,caja_tipo_id,alto,ancho,largo,utilizacion_pallet,cantidad_cajas_pallet
BR0001,1546613,0835ff365412a67b720a19713ec250f3,305.8,286.0,386.0,0.8491219907407408,40.0
BR0001,1546613,170f5916eaeb0e271ae012eedb1ad645,327.8,286.0,386.0,0.908463425925926,40.0
BR0001,1546613,2060590a59a5c59ff1bb32dbffe1028b,316.8,286.0,386.0,0.8787927083333333,40.0
BR0001,1546613,3ee40e049bab5e95db9b552be527cd7d,287.1,310.2,380.0,0.7659662850000002,36.0
BR0001,1546613,3f4b03b56bb388655f2cb1495b69f5d7,305.8,288.0,388.0,0.85920725,40.0
BR0001,1546613,4d0dc68792c8a76defd00faaff677665,317.9,281.0,379.0,0.8514534259259259,40.0
BR0001,1546613,4d0dc68792c8a76defd00faaff677665,289.0,309.1,379.0,0.7662498833333332,36.0
BR0001,1546613,4d0dc68792c8a76defd00faaff677665,317.9,309.1,379.0,0.7004672451388888,30.0
BR0001,1546613,584c93c412f45cd05fb6c4c753038aa1,317.9,285.0,379.0,0.8631976111111112,40.0
BR0001,1546613,5c09a821f787019adf0ee74c5cc31985,318.0,280.5,385.0,0.8633935416666667,40.0
BR0001,1546613,60f9d051a89c1302333f9987840f1831,328.0,280.5,385.0,0.8897970138888889,40.0
BR0001,1546613,6d3c3bcdfc4034e3424078243e7668a1,314.6,286.0,386.0,0.8728585648148148,40.0
BR0001,1546613,8f26468860664ecfed551104179d7f3e,318.0,286.0,386.0,0.8820295138888888,40.0
BR0001,1546613,9d44d480026dfab07731a73d1d0c6539,311.3,288.0,388.0,0.8742188125,40.0
BR0001,1546613,a23eeef1c0cd8cfd40b780d65382034a,303.0,286.0,386.0,0.8415694444444445,40.0
BR0001,1546613,ab2be01db2336d90876b25f646f81b48,311.3,286.0,386.0,0.8639573495370371,40.0
BR0001,1546613,b4d42409ba0a801454f8f3bc60d94ec1,322.3,288.0,388.0,0.9042419375,40.0
BR0001,1546613,b5ff628fcb5e9885b7d13c5dd1ddd441,314.6,282.0,380.0,0.8479443611111113,40.0
BR0001,1546613,b5ff628fcb5e9885b7d13c5dd1ddd441,286.0,310.2,380.0,0.76312075,36.0
BR0001,1546613,c4661c6946240f8ff854e9255c97cbc9,317.7,288.0,388.0,0.8916868125,40.0
BR0001,1546613,c98f51071fa8c135d7071023f6b23ac0,313.2,288.0,388.0,0.879404625,40.0
BR0001,1546613,e205014ff79e36431f829f1fab46061c,300.3,288.0,388.0,0.8441956875,40.0
BR0002,139211,0835ff365412a67b720a19713ec250f3,278.0,286.0,386.0,0.9289631944444444,48.0
BR0002,139211,0835ff365412a67b720a19713ec250f3,278.0,314.6,386.0,0.7642690416666668,36.0
BR0002,139211,125888817c4da192ce9335454b8d4432,271.0,309.1,379.0,0.7199663333333334,36.0
BR0002,139211,170f5916eaeb0e271ae012eedb1ad645,268.2,314.6,386.0,0.73817205,36.0
BR0002,139211,2060590a59a5c59ff1bb32dbffe1028b,259.2,314.6,386.0,0.714205425,36.0
BR0002,139211,3249c6671a2e400c91ae940376aa4946,268.0,316.8,388.0,0.7464145875,36.0
BR0002,139211,3f4b03b56bb388655f2cb1495b69f5d7,278.0,288.0,388.0,0.93999675,48.0
BR0002,139211,3f4b03b56bb388655f2cb1495b69f5d7,278.0,316.8,388.0,0.7733609625000001,36.0
BR0002,139211,4e08f8e3d25dca0ebe2ef18b5cff3f24,274.5,310.2,380.0,0.733371975,36.0
BR0002,139211,537ef1ac28efdb45dee0d50d3e1f8274,276.1,310.2,380.0,0.7375109350000001,36.0
BR0002,139211,584c93c412f45cd05fb6c4c753038aa1,260.1,313.5,379.0,0.7015100625000001,36.0
BR0002,139211,5914abeae491eab8612131985b15994f,262.9,314.6,386.0,0.7240583708333334,36.0
BR0002,139211,6bd5fa9e984e7243519003fc969aa30d,268.4,314.6,386.0,0.7387046416666666,36.0
BR0002,139211,6d3c3bcdfc4034e3424078243e7668a1,257.4,314.6,386.0,0.7094121,36.0
BR0002,139211,72188210fb21e6ddf6d4aba9a9301c48,262.9,316.8,388.0,0.7326719362499999,36.0
BR0002,139211,746ba2b15e87d0070b74ecc07f6ca350,251.9,316.8,388.0,0.7030309237500001,36.0
BR0002,139211,9c72b7ef9f82b991ef05900066e9dc1b,271.0,310.2,380.0,0.724318,36.0
BR0002,139211,9d44d480026dfab07731a73d1d0c6539,254.7,316.8,388.0,0.7105759087500001,36.0
BR0002,139211,a053806f0b23db27a17e90bf971c8a62,273.0,314.6,386.0,0.7509542500000002,36.0
BR0002,139211,a23eeef1c0cd8cfd40b780d65382034a,272.7,314.6,386.0,0.7501553625,36.0
BR0002,139211,a81b2225c037d3a9acb4e700a03958ae,255.2,314.6,386.0,0.7035535916666665,36.0
BR0002,139211,aaf392f3c544855a81cee5b4895b3983,281.6,310.2,380.0,0.75173861,36.0
BR0002,139211,ab2be01db2336d90876b25f646f81b48,254.7,314.6,386.0,0.7022221125000001,36.0
BR0002,139211,b10375e57c7a7f209de7bf3aec5aa29f,268.0,314.6,386.0,0.7376394583333334,36.0
BR0002,139211,b4d42409ba0a801454f8f3bc60d94ec1,263.7,316.8,388.0,0.73482764625,36.0
BR0002,139211,bf05ab5b9fe071ca604f12617c73c3ec,258.0,314.6,386.0,0.7110098750000001,36.0
BR0002,139211,c61dafed9b7d2c7f917d4debf65896c1,263.0,314.6,386.0,0.7243246666666668,36.0
BR0002,139211,cc0d190e9c91b2ee40868981c9f6d0f6,266.0,310.2,380.0,0.71138375,36.0
BR0002,139211,ce9d9f5685ddf0df230b3137826b5cde,281.6,286.0,386.0,0.9406156944444444,48.0
BR0002,139211,ce9d9f5685ddf0df230b3137826b5cde,281.6,314.6,386.0,0.7738556916666668,36.0
BR0002,139211,ce9d9f5685ddf0df230b3137826b5cde,256.0,314.6,386.0,0.7056839583333333,36.0
BR0002,139211,e205014ff79e36431f829f1fab46061c,273.0,288.0,388.0,0.9236205,48.0
BR0002,139211,e205014ff79e36431f829f1fab46061c,273.0,316.8,388.0,0.759887775,36.0
BR0002,139211,eb4895380ccaa410da0fefb6f12b197b,278.3,286.0,386.0,0.9299342361111111,48.0
BR0002,139211,eb4895380ccaa410da0fefb6f12b197b,278.3,314.6,386.0,0.7650679291666669,36.0
BR0003,172506,0b72571a5bb7429ce7de424547e8d27d,174.0,286.0,386.0,0.888503125,72.0
BR0003,172506,161332db17a4c8bcba8a5651098cbe91,170.1,288.0,388.0,0.977662125,80.0
BR0003,172506,228ba4e5ea3c7574cbd9ce77434d4525,166.5,310.2,380.0,0.756653625,60.0
BR0003,172506,27f597341f2223c1757e942d65f52be3,178.2,286.0,386.0,0.908895,72.0
BR0003,172506,3bbb0a264f46985b05693bd22a6944d3,169.2,311.3,381.0,0.7729239375,60.0
BR0003,172506,4f08f853cf7f9be28571df66a50bc322,164.0,288.0,388.0,0.94436375,80.0
BR0003,172506,519a80871f454928779db9ed3e039e2b,167.0,310.2,380.0,0.7588093333333332,60.0
BR0003,172506,5de73c5764aabd7851aff9fdd3125d98,170.0,285.0,385.0,0.9599372222222222,80.0
BR0003,172506,614801e8bbdec32546c0d92055dfb596,174.6,288.0,388.0,0.90200385,72.0
BR0003,172506,6317bf81cd9d3fe0f209963e7fd234f7,172.0,282.0,380.0,0.853709125,72.0
BR0003,172506,6317bf81cd9d3fe0f209963e7fd234f7,172.0,310.2,380.0,0.7023297749999999,54.0
BR0003,172506,631adf6ff70b5781bcd77a8f20a140e0,172.8,286.0,386.0,0.882676875,72.0
BR0003,172506,67894c5a8355ca9b7e57b96362fa45f1,169.0,288.0,388.0,0.9716575,80.0
BR0003,172506,6d3b65a1af8cc152d64aed67c4b13230,171.9,285.0,383.0,0.8686818,72.0
BR0003,172506,8850d576186653964c356b848cd2153a,174.6,286.0,386.0,0.89141625,72.0
BR0003,172506,a12aea41ad9864b83129274495d5d5b2,165.6,288.0,388.0,0.95309775,80.0
BR0003,172506,a864dfb999785d464e7867269d6489cb,175.0,282.0,380.0,0.867859,72.0
BR0003,172506,a864dfb999785d464e7867269d6489cb,157.5,310.2,380.0,0.717850875,60.0
BR0003,172506,a864dfb999785d464e7867269d6489cb,175.0,310.2,380.0,0.7139706,54.0
BR0003,172506,ad02b3d41b4467a5a65a742951a80e72,171.0,286.0,386.0,0.9710416666666668,80.0
BR0003,172506,bbc4a9c702728931b676523ffd513a75,161.1,312.4,384.0,0.7460196187499999,60.0
BR0003,172506,bdfc62c15432bf98daa6314e01c97f4b,162.9,310.2,380.0,0.741132525,60.0
BR0003,172506,bfcb33e665554321d0a93ce891eadb54,174.9,286.0,386.0,0.8928728125,72.0
BR0003,172506,cb9988b0557e22e3abc2bbe0a56967d0,169.0,286.0,386.0,0.9602523148148148,80.0
BR0003,172506,cf4c068dfec055bf302e658d71c9c942,172.8,282.0,380.0,0.857482425,72.0
BR0003,172506,cf4c068dfec055bf302e658d71c9c942,172.8,310.2,380.0,0.705433995,54.0
BR0003,172506,e740f34d87ef8ba88af8bc4375aaebab,167.0,286.0,384.0,0.9446555555555556,80.0
BR0003,172506,ec50ec2078db5c1fbf57db09049b95f3,173.8,282.0,380.0,0.8621990500000001,72.0
BR0003,172506,ec50ec2078db5c1fbf57db09049b95f3,158.0,310.2,380.0,0.7200065833333333,60.0
BR0003,172506,ec50ec2078db5c1fbf57db09049b95f3,173.8,310.2,380.0,0.7093142699999999,54.0
BR0003,172506,f152ca1c81c447e9f47aac4e934dc6fc,163.0,310.2,380.0,0.7415636666666666,60.0
BR0003,172506,fe7802fb3f92b710413a4de88233a3f7,174.0,288.0,388.0,0.899056125,72.0
BR0004,271715,1333ec917a8a6111a3fac88649307892,240.9,287.0,380.0,0.932506477777778,56.0
BR0004,271715,1333ec917a8a6111a3fac88649307892,240.9,315.7,380.0,0.7671913513541666,42.0
BR0004,271715,1e68edd4dd3edf793634e204ec225c3b,236.5,310.2,380.0,0.7409169541666665,42.0
BR0004,271715,1f3654aef5539d7393e1c6a4a8be552f,226.6,313.5,383.0,0.7239300833333333,42.0
BR0004,271715,27cfee279bf2517d910cfab7c0b51213,224.4,314.6,386.0,0.7251235541666667,42.0
BR0004,271715,3249c6671a2e400c91ae940376aa4946,241.2,288.0,388.0,0.9560454749999998,56.0
BR0004,271715,3249c6671a2e400c91ae940376aa4946,241.2,316.8,388.0,0.78656468625,42.0
BR0004,271715,35174969e008414733b7133a380c2f8c,240.0,280.5,391.0,0.9344416666666666,56.0
BR0004,271715,3665e3bea9deb6de2f6ad8e308473be4,233.2,310.2,380.0,0.7309575816666666,42.0
BR0004,271715,3ee40e049bab5e95db9b552be527cd7d,234.9,310.2,380.0,0.7360881675000001,42.0
BR0004,271715,414d4cf5c1bc8a346f7e4445ede7acbd,229.0,314.6,386.0,0.7394147638888889,42.0
BR0004,271715,48d2fa87ef6ac189e633680672b6132e,218.9,314.6,386.0,0.7080362381944445,42.0
BR0004,271715,4910b652fb2cf1c609d243a1e78d1919,238.7,286.0,386.0,0.9353828587962963,56.0
BR0004,271715,4910b652fb2cf1c609d243a1e78d1919,238.7,314.6,386.0,0.7695505756944445,42.0
BR0004,271715,4910b652fb2cf1c609d243a1e78d1919,217.0,314.6,386.0,0.7021333472222223,42.0
BR0004,271715,4e4ab9c5dd0e741b2d59dd243d6a270a,226.0,313.5,383.0,0.7220864583333333,42.0
BR0004,271715,5229dfb764d843b66341f7ca5cdec3dd,235.4,288.0,388.0,0.93388295,56.0
BR0004,271715,5229dfb764d843b66341f7ca5cdec3dd,214.0,316.8,388.0,0.80120555,48.0
BR0004,271715,5229dfb764d843b66341f7ca5cdec3dd,235.4,316.8,388.0,0.7683309725,42.0
BR0004,271715,537ef1ac28efdb45dee0d50d3e1f8274,225.9,310.2,380.0,0.7089262425,42.0
BR0004,271715,5914abeae491eab8612131985b15994f,239.0,286.0,386.0,0.9365157407407408,56.0
BR0004,271715,5914abeae491eab8612131985b15994f,239.0,314.6,386.0,0.7704826111111112,42.0
BR0004,271715,600cd59259a79d7fa6a1bffb6451bb8a,240.9,286.0,386.0,0.9436906597222222,56.0
BR0004,271715,600cd59259a79d7fa6a1bffb6451bb8a,240.9,314.6,386.0,0.7763855020833335,42.0
BR0004,271715,600cd59259a79d7fa6a1bffb6451bb8a,219.0,314.6,386.0,0.7083469166666667,42.0
BR0004,271715,614801e8bbdec32546c0d92055dfb596,213.4,316.8,388.0,0.79904984,48.0
BR0004,271715,63849e2a342c002e41cdca735b7ffa35,229.0,311.3,381.0,0.7226101458333335,42.0
BR0004,271715,6bd5fa9e984e7243519003fc969aa30d,219.6,314.6,386.0,0.7102109875,42.0
BR0004,271715,6e24cdcd39a5b66463bacc58cc283eb7,227.0,316.8,388.0,0.741923525,42.0
BR0004,271715,72188210fb21e6ddf6d4aba9a9301c48,239.0,288.0,388.0,0.947639,56.0
BR0004,271715,72188210fb21e6ddf6d4aba9a9301c48,215.1,316.8,388.0,0.8051576850000001,48.0
BR0004,271715,72188210fb21e6ddf6d4aba9a9301c48,239.0,316.8,388.0,0.77964845,42.0
BR0004,271715,746ba2b15e87d0070b74ecc07f6ca350,229.0,316.8,388.0,0.7482110125000001,42.0
BR0004,271715,79637c70988d89fe3abe191b59c1ed0c,240.9,288.0,388.0,0.9548991375,56.0
BR0004,271715,79637c70988d89fe3abe191b59c1ed0c,240.9,316.8,388.0,0.785621563125,42.0
BR0004,271715,79637c70988d89fe3abe191b59c1ed0c,219.0,316.8,388.0,0.716773575,42.0
BR0004,271715,7a36a62f118b7544b9313b676a30ea35,218.9,316.8,388.0,0.716459200625,42.0
BR0004,271715,8044f4664ac51a293ecacbd7a3d0fb38,231.0,310.2,380.0,0.724318,42.0
BR0004,271715,a555028b9dc4a080d444d0af6464279d,221.1,314.6,386.0,0.7148711645833332,42.0
BR0004,271715,a81b2225c037d3a9acb4e700a03958ae,232.0,314.6,386.0,0.7487351180555557,42.0
BR0004,271715,aaf392f3c544855a81cee5b4895b3983,230.4,310.2,380.0,0.722507205,42.0
BR0004,271715,ac8b5267c6be652bd0aff43408408e79,229.9,316.8,388.0,0.7510403818750001,42.0
BR0004,271715,ad99ed562d5d808977b10fa512bfde8b,235.4,314.6,386.0,0.7592981861111112,42.0
BR0004,271715,b10375e57c7a7f209de7bf3aec5aa29f,241.2,286.0,386.0,0.9448235416666668,56.0
BR0004,271715,b10375e57c7a7f209de7bf3aec5aa29f,241.2,314.6,386.0,0.7773175375000001,42.0
BR0004,271715,bdefb2124af27fa9ca0fa5d293a18aa4,229.9,314.6,386.0,0.742210870138889,42.0
BR0004,271715,be032c6684b548fff0bd0e094da34f35,232.1,313.5,383.0,0.7408299791666667,42.0
BR0004,271715,beea47cc5f637c6fde9604c5cdd6c572,235.4,315.7,387.0,0.763808045,42.0
BR0004,271715,bf05ab5b9fe071ca604f12617c73c3ec,232.2,314.6,386.0,0.7493564750000001,42.0
BR0004,271715,c61dafed9b7d2c7f917d4debf65896c1,236.7,314.6,386.0,0.7633370062500001,42.0
BR0004,271715,cc0d190e9c91b2ee40868981c9f6d0f6,239.4,310.2,380.0,0.7496691299999999,42.0
BR0004,271715,ce9d9f5685ddf0df230b3137826b5cde,230.4,314.6,386.0,0.7437642625,42.0
BR0004,271715,eb4895380ccaa410da0fefb6f12b197b,227.7,314.6,386.0,0.7353759437499999,42.0
BR0005,7586,125888817c4da192ce9335454b8d4432,271.0,281.0,379.0,0.8751555555555556,48.0
BR0005,7586,125888817c4da192ce9335454b8d4432,243.9,309.1,379.0,0.7586645237499999,42.0
BR0005,7586,125888817c4da192ce9335454b8d4432,271.0,309.1,379.0,0.7199663333333334,36.0
BR0005,7586,170f5916eaeb0e271ae012eedb1ad645,268.2,286.0,386.0,0.8972425,48.0
BR0005,7586,2060590a59a5c59ff1bb32dbffe1028b,259.2,286.0,386.0,0.86811125,48.0
BR0005,7586,3249c6671a2e400c91ae940376aa4946,268.0,288.0,388.0,0.90724425,48.0
BR0005,7586,3479d784dc4ed4c42784cabde22ac149,272.8,272.8,383.0,0.864700168888889,48.0
BR0005,7586,35174969e008414733b7133a380c2f8c,264.0,280.5,391.0,0.87815,48.0
BR0005,7586,3ee40e049bab5e95db9b552be527cd7d,261.0,282.0,380.0,0.8489925,48.0
BR0005,7586,3f4b03b56bb388655f2cb1495b69f5d7,250.2,288.0,388.0,0.8489447999999999,48.0
BR0005,7586,4e08f8e3d25dca0ebe2ef18b5cff3f24,274.5,282.0,380.0,0.891442125,48.0
BR0005,7586,4e08f8e3d25dca0ebe2ef18b5cff3f24,274.5,310.2,380.0,0.733371975,36.0
BR0005,7586,584c93c412f45cd05fb6c4c753038aa1,260.1,285.0,379.0,0.8526882000000001,48.0
BR0005,7586,5914abeae491eab8612131985b15994f,262.9,286.0,386.0,0.8800874305555556,48.0
BR0005,7586,6bd5fa9e984e7243519003fc969aa30d,268.4,286.0,386.0,0.8978898611111111,48.0
BR0005,7586,6d3c3bcdfc4034e3424078243e7668a1,257.4,286.0,386.0,0.862285,48.0
BR0005,7586,72188210fb21e6ddf6d4aba9a9301c48,262.9,288.0,388.0,0.8905404749999999,48.0
BR0005,7586,746ba2b15e87d0070b74ecc07f6ca350,251.9,288.0,388.0,0.8545127249999999,48.0
BR0005,7586,8ff369b05ce8c21076793bc345e6ec1e,268.0,272.8,383.0,0.8499714222222223,48.0
BR0005,7586,9c72b7ef9f82b991ef05900066e9dc1b,271.0,282.0,380.0,0.8804366666666666,48.0
BR0005,7586,9c72b7ef9f82b991ef05900066e9dc1b,243.9,310.2,380.0,0.7632500925,42.0
BR0005,7586,9c72b7ef9f82b991ef05900066e9dc1b,271.0,310.2,380.0,0.724318,36.0
BR0005,7586,9d44d480026dfab07731a73d1d0c6539,254.7,288.0,388.0,0.863683425,48.0
BR0005,7586,a053806f0b23db27a17e90bf971c8a62,273.0,286.0,386.0,0.9127791666666668,48.0
BR0005,7586,a23eeef1c0cd8cfd40b780d65382034a,272.7,286.0,386.0,0.911808125,48.0
BR0005,7586,a81b2225c037d3a9acb4e700a03958ae,255.2,286.0,386.0,0.8551640277777778,48.0
BR0005,7586,ab2be01db2336d90876b25f646f81b48,254.7,286.0,386.0,0.853545625,48.0
BR0005,7586,b10375e57c7a7f209de7bf3aec5aa29f,268.0,286.0,386.0,0.8965951388888889,48.0
BR0005,7586,b4d42409ba0a801454f8f3bc60d94ec1,263.7,288.0,388.0,0.893160675,48.0
BR0005,7586,bf05ab5b9fe071ca604f12617c73c3ec,258.0,286.0,386.0,0.8642270833333333,48.0
BR0005,7586,c61dafed9b7d2c7f917d4debf65896c1,263.0,286.0,386.0,0.8804111111111111,48.0
BR0005,7586,cc0d190e9c91b2ee40868981c9f6d0f6,266.0,282.0,380.0,0.8647145833333333,48.0
BR0005,7586,cc0d190e9c91b2ee40868981c9f6d0f6,239.4,310.2,380.0,0.7496691299999999,42.0
BR0005,7586,cc0d190e9c91b2ee40868981c9f6d0f6,266.0,310.2,380.0,0.71138375,36.0
BR0005,7586,ce9d9f5685ddf0df230b3137826b5cde,256.0,286.0,386.0,0.8577534722222222,48.0
BR0005,7586,d85b31778b741c8bdb462d9f332e56d2,268.4,272.8,383.0,0.8511988177777777,48.0
BR0005,7586,e205014ff79e36431f829f1fab46061c,273.0,288.0,388.0,0.9236205,48.0
BR0005,7586,ea6403e25e3a52198dad19251c207a47,269.5,277.2,380.0,0.861275175,48.0
BR0005,7586,eb4895380ccaa410da0fefb6f12b197b,253.0,286.0,386.0,0.8480430555555556,48.0
