codigo_producto,volumen_producto_total,cajas_asignables_id
BR0001,1546613,02cf77de65b70dd77905e2e33d78478f; 5e55b0f0e0122b55ba8d4d91fb921c5a; 60eb77c934f99a121f410ec2037a2a46; 845990194eeb50cd131954a55fecd655; 8f26468860664ecfed551104179d7f3e; a23eeef1c0cd8cfd40b780d65382034a; a2c4cc4e764be062aaefa64a99695dbe
BR0002,139211,0835ff365412a67b720a19713ec250f3; 3256a5fed07b421a92abee44a3d93243; 3f4b03b56bb388655f2cb1495b69f5d7; 6d3c3bcdfc4034e3424078243e7668a1; 9d44d480026dfab07731a73d1d0c6539; ab2be01db2336d90876b25f646f81b48; b1fa69af5a250262387efec5b10a19ae; b5ff628fcb5e9885b7d13c5dd1ddd441; c36eddeb93ed1ad7e063fda32344745b; c9eb200a8d16b9dc82e130d6874c099c; e205014ff79e36431f829f1fab46061c; f1efec47e48187c72213058375afab2c
BR0003,172506,0b72571a5bb7429ce7de424547e8d27d; 1d004a15dfa567347fd4f43b42afd3a4; 3cdb44bb6e06ba2151d665a0c599b894; 4f08f853cf7f9be28571df66a50bc322; 55b52b97c05b19dbbbefa191622fe36a; 5de73c5764aabd7851aff9fdd3125d98; 5e09543a8b7a6614f447c98559a39851; 6317bf81cd9d3fe0f209963e7fd234f7; 67894c5a8355ca9b7e57b96362fa45f1; 952d7cb277c22fee189451276b46d536; 9bad717e71278467a7e45ca1001c12ee; a778b11e4e4ba54e29a39958cb07f4f2; a864dfb999785d464e7867269d6489cb; ad02b3d41b4467a5a65a742951a80e72; bbc4a9c702728931b676523ffd513a75; cb9988b0557e22e3abc2bbe0a56967d0; ce1ff894a22d25ca524b3e3a26227ec6; dc0b41c3254944ee2f8977c80dc8f455; ddc544b82bb095f53666029f60d7e482; e740f34d87ef8ba88af8bc4375aaebab; fe7802fb3f92b710413a4de88233a3f7
BR0004,271715,32afd4b4cbf80746743543d141a1b52c; 5914abeae491eab8612131985b15994f; 6bd5fa9e984e7243519003fc969aa30d; 6d5c1314ab281dbdd56dc5dde84579b9; 72188210fb21e6ddf6d4aba9a9301c48; a1c08078a73de9700accb1bfa9d293be; c96df5913565ba35f3e02e744c9a6dde; dcc42a5da445d56728ad8178bf5931e9
BR0005,7586,0835ff365412a67b720a19713ec250f3; 125888817c4da192ce9335454b8d4432; 1fe6b9010b30d1d429fc0c7a240159aa; 3249c6671a2e400c91ae940376aa4946; 3256a5fed07b421a92abee44a3d93243; 3ee40e049bab5e95db9b552be527cd7d; 3f4b03b56bb388655f2cb1495b69f5d7; 4989f7c44b56191eebb2c0b95763c0db; 6d5c1314ab281dbdd56dc5dde84579b9; 76707310f2a6b601d4f7815c21f6e7bd; 9c72b7ef9f82b991ef05900066e9dc1b; a053806f0b23db27a17e90bf971c8a62; a1c08078a73de9700accb1bfa9d293be; b10375e57c7a7f209de7bf3aec5aa29f; bf05ab5b9fe071ca604f12617c73c3ec; c36eddeb93ed1ad7e063fda32344745b; c61dafed9b7d2c7f917d4debf65896c1; c9eb200a8d16b9dc82e130d6874c099c; cc0d190e9c91b2ee40868981c9f6d0f6; ce9d9f5685ddf0df230b3137826b5cde; d0098765b25906b02fe80a96f1e6e287; dcc42a5da445d56728ad8178bf5931e9; ddc8f0c662924d5b7914ba35ddb1ebe4; e205014ff79e36431f829f1fab46061c; eb4895380ccaa410da0fefb6f12b197b
BR0006,6901,02cf77de65b70dd77905e2e33d78478f; 170f5916eaeb0e271ae012eedb1ad645; 2060590a59a5c59ff1bb32dbffe1028b; 4e08f8e3d25dca0ebe2ef18b5cff3f24; 60eb77c934f99a121f410ec2037a2a46; 6d3c3bcdfc4034e3424078243e7668a1; 9d44d480026dfab07731a73d1d0c6539; a23eeef1c0cd8cfd40b780d65382034a; a2c4cc4e764be062aaefa64a99695dbe; b1fa69af5a250262387efec5b10a19ae; b4d42409ba0a801454f8f3bc60d94ec1; c36eddeb93ed1ad7e063fda32344745b; f1efec47e48187c72213058375afab2c
BR0007,46847,02cf77de65b70dd77905e2e33d78478f; 5e55b0f0e0122b55ba8d4d91fb921c5a; 60eb77c934f99a121f410ec2037a2a46; 8f26468860664ecfed551104179d7f3e; a2c4cc4e764be062aaefa64a99695dbe
BR0008,14639,161332db17a4c8bcba8a5651098cbe91; 48d2fa87ef6ac189e633680672b6132e; 5a779fb14ea37232001ecf933514d159; 5e09543a8b7a6614f447c98559a39851; 614801e8bbdec32546c0d92055dfb596; 631adf6ff70b5781bcd77a8f20a140e0; 6d3b65a1af8cc152d64aed67c4b13230; 6f0bc5eabea0d399e9342acf41bcb33b; 7a36a62f118b7544b9313b676a30ea35; 8850d576186653964c356b848cd2153a; 9a88ed4806deaa5c9b3abac82886d23a; a12aea41ad9864b83129274495d5d5b2; a555028b9dc4a080d444d0af6464279d; a699f7e10a026261e599215bbbee0cbc; cf4c068dfec055bf302e658d71c9c942; d31c61f54dfba12e6064bda2c75bc9f2; ea4f4880b999f6854b641f68b394c657; fea00d6f87d3f80808e9e8d1b501120a
BR0009,18019,161332db17a4c8bcba8a5651098cbe91; 228ba4e5ea3c7574cbd9ce77434d4525; 3bbb0a264f46985b05693bd22a6944d3; 3cdb44bb6e06ba2151d665a0c599b894; 55b52b97c05b19dbbbefa191622fe36a; 5a779fb14ea37232001ecf933514d159; 5e09543a8b7a6614f447c98559a39851; 614801e8bbdec32546c0d92055dfb596; 631adf6ff70b5781bcd77a8f20a140e0; 6d3b65a1af8cc152d64aed67c4b13230; 6f0bc5eabea0d399e9342acf41bcb33b; 8850d576186653964c356b848cd2153a; 952d7cb277c22fee189451276b46d536; 9a88ed4806deaa5c9b3abac82886d23a; a12aea41ad9864b83129274495d5d5b2; cf4c068dfec055bf302e658d71c9c942; d31c61f54dfba12e6064bda2c75bc9f2; ddc544b82bb095f53666029f60d7e482; f324c5af11a778e41d0ca8572b5187bb; fea00d6f87d3f80808e9e8d1b501120a
BR0010,24339,0b72571a5bb7429ce7de424547e8d27d; 116dda17a7b7fb82c62f462ef4a94218; 1d004a15dfa567347fd4f43b42afd3a4; 3cdb44bb6e06ba2151d665a0c599b894; 4f08f853cf7f9be28571df66a50bc322; 55b52b97c05b19dbbbefa191622fe36a; 5de73c5764aabd7851aff9fdd3125d98; 5e09543a8b7a6614f447c98559a39851; 6317bf81cd9d3fe0f209963e7fd234f7; 67894c5a8355ca9b7e57b96362fa45f1; 952d7cb277c22fee189451276b46d536; 9bad717e71278467a7e45ca1001c12ee; a778b11e4e4ba54e29a39958cb07f4f2; a864dfb999785d464e7867269d6489cb; ad02b3d41b4467a5a65a742951a80e72; bbc4a9c702728931b676523ffd513a75; cb9988b0557e22e3abc2bbe0a56967d0; ce1ff894a22d25ca524b3e3a26227ec6; dc0b41c3254944ee2f8977c80dc8f455; ddc544b82bb095f53666029f60d7e482; e740f34d87ef8ba88af8bc4375aaebab; fe7802fb3f92b710413a4de88233a3f7
