codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0001,4.1,394.2,294.2,311.2
BR0002,2.7,400.4,301.4,265.4
BR0003,4.1,396.2,296.2,172.2
BR0004,2.7,400.4,301.4,229.4
BR0005,4.1,394.2,294.2,261.2
BR0006,4.1,394.2,294.2,294.2
BR0007,2.7,400.4,301.4,296.4
BR0008,4.1,394.2,294.2,192.2
BR0009,4.1,394.2,294.2,187.2
BR0010,4.1,394.2,294.2,172.2
BR0011,4.1,396.2,296.2,291.2
BR0012,4.1,394.2,294.2,222.2
BR0013,2.7,400.4,301.4,229.4
BR0014,4.1,394.2,294.2,252.2
BR0015,4.1,394.2,294.2,252.2
BR0016,4.1,394.2,294.2,252.2
BR0017,2.7,400.4,301.4,229.4
BR0018,4.1,394.2,294.2,296.2
BR0019,2.7,398.4,260.4,265.4
BR0020,2.7,398.4,260.4,209.4
BR0021,4.1,391.2,256.2,207.2
BR0022,2.7,398.4,260.4,235.4
BR0023,4.1,391.2,256.2,187.2
BR0024,2.7,398.4,260.4,240.4
BR0025,4.1,394.2,294.2,187.2
BR0026,4.1,396.2,296.2,227.2
BR0027,4.1,394.2,294.2,179.2
BR0028,4.1,394.2,294.2,225.2
BR0029,4.1,394.2,294.2,179.2
BR0030,4.8,389.6,291.6,181.6
BR0031,4.1,394.2,294.2,177.2
BR0032,4.1,394.2,294.2,167.2
BR0033,4.1,396.2,296.2,192.2
BR0034,4.8,388.6,255.6,191.6
BR0035,2.7,400.4,301.4,219.4
BR0036,4.8,393.6,295.6,172.6
BR0037,2.7,398.4,260.4,250.4
BR0038,2.7,398.4,260.4,240.4
BR0039,2.7,398.4,260.4,250.4
BR0040,2.7,398.4,260.4,240.4
BR0041,2.7,398.4,260.4,240.4
BR0042,2.7,398.4,260.4,199.4
BR0043,4.6,389.2,261.2,153.2
BR0044,4.6,389.2,261.2,153.2
BR0045,4.6,384.2,191.2,161.2
BR0046,4.6,389.2,261.2,153.2
BR0047,4.6,389.2,261.2,153.2
BR0048,4.6,389.2,261.2,244.2
BR0049,4.6,389.2,261.2,254.2
BR0050,4.6,389.2,261.2,227.2
BR0051,4.6,389.2,261.2,237.2
BR0052,4.6,389.2,261.2,244.2
BR0053,4.6,389.2,261.2,227.2
BR0054,4.6,389.2,261.2,254.2
BR0055,4.6,389.2,261.2,244.2
BR0056,4.6,389.2,261.2,244.2
BR0057,4.6,389.2,261.2,235.2
BR0058,4.6,384.2,191.2,161.2
BR0059,4.6,389.2,261.2,254.2
BR0060,4.6,389.2,261.2,237.2
BR0061,4.6,389.2,261.2,237.2
BR0062,4.6,389.2,261.2,237.2
BR0063,4.6,389.2,261.2,237.2
BR0064,4.6,389.2,261.2,254.2
BR0065,4.1,396.2,296.2,177.2
BR0066,4.1,394.2,294.2,170.2
BR0067,2.7,398.4,260.4,255.4
BR0068,4.1,394.2,294.2,222.2
BR0069,2.7,398.4,260.4,219.4
BR0070,2.7,398.4,260.4,209.4
BR0071,2.7,398.4,260.4,224.4
BR0072,2.7,398.4,260.4,224.4
BR0073,4.1,396.2,296.2,172.2
BR0074,2.7,400.4,301.4,250.4
BR0075,2.7,400.4,301.4,265.4
BR0076,2.7,398.4,260.4,173.4
BR0077,4.1,394.2,294.2,261.2
BR0078,2.7,400.4,301.4,265.4
BR0079,2.7,398.4,260.4,270.4
BR0080,2.7,398.4,260.4,275.4
BR0081,2.7,398.4,260.4,280.4
BR0082,2.7,400.4,301.4,285.4
BR0083,2.7,400.4,301.4,265.4
BR0084,2.7,398.4,260.4,270.4
BR0085,2.7,398.4,260.4,275.4
BR0086,4.1,391.2,256.2,237.2
BR0087,4.1,391.2,256.2,222.2
BR0088,2.7,398.4,260.4,240.4
BR0089,4.1,391.2,256.2,247.2
BR0090,4.1,391.2,256.2,222.2
BR0091,4.1,391.2,256.2,217.2
BR0092,2.7,398.4,260.4,255.4
BR0092XL,2.7,398.4,299.4,229.4
BR0093,2.7,398.4,260.4,255.4
BR0094,2.7,398.4,260.4,229.4
BR0095,2.7,398.4,260.4,229.4
BR0096,2.7,398.4,260.4,209.4
BR0097,4.8,388.6,255.6,206.6
BR0098,2.7,398.4,260.4,214.4
BR0099,4.1,391.2,256.2,207.2
BR0100,4.8,389.6,291.6,190.6
BR0101,4.8,389.6,291.6,184.6
BR0102,2.7,400.4,301.4,183.4
BR0103,4.8,389.6,291.6,210.6
BR0104,4.1,394.2,294.2,209.2
BR0105,4.1,394.2,294.2,187.2
BR0106,4.5,400.0,264.0,239.0
BR0107,4.5,400.0,264.0,249.0
BR0108,2.7,400.4,301.4,306.4
BR0109,2.7,400.4,301.4,311.4
BR0110,2.7,398.4,260.4,229.4
BR0111,2.7,398.4,260.4,209.4
BR0112,2.7,398.4,260.4,214.4
BR0113,4.1,396.2,296.2,286.2
BR0114,2.5,400.0,301.0,260.0
BR0115,4.1,394.2,294.2,291.2
BR0116,4.1,394.2,294.2,172.2
BR0117,4.1,394.2,294.2,264.2
BR0118,2.7,400.4,301.4,224.4
BR0119,2.7,400.4,301.4,189.4
BR0120,4.6,389.2,296.2,228.2
BR0121,4.1,396.2,296.2,356.2
BR0122,2.7,400.4,301.4,357.4
BR0123,4.1,394.2,294.2,286.2
BR0124,2.7,400.4,301.4,357.4
BR0125,4.8,389.6,291.6,211.6
BR0126,4.8,389.6,291.6,265.6
BR0127,4.8,389.6,291.6,211.6
BR0128,2.7,398.4,260.4,214.4
BR0129,2.7,398.4,260.4,214.4
BR0130,2.7,400.4,301.4,255.4
BR0131,2.7,400.4,301.4,265.4
BR0132,2.7,400.4,250.4,235.4
BR0133,2.7,400.4,250.4,235.4
BR0134,4.1,394.2,294.2,276.2
BR0135,4.1,396.2,296.2,281.2
BR0136,4.6,388.2,290.2,298.2
BR0136XL,4.6,388.2,294.2,298.2
BR0137,2.7,398.4,260.4,316.4
BR0138,4.6,389.2,261.2,153.2
BR0139,2.7,400.4,301.4,275.4
BR0140,4.1,394.2,294.2,247.2
BR0141,4.1,394.2,294.2,247.2
BR0142,4.1,394.2,294.2,326.2
BR0143,4.8,389.6,291.6,275.6
BR0144,4.8,389.6,291.6,224.6
BR0145,4.1,396.2,296.2,187.2
BR0146,4.5,400.0,305.0,182.0
BR0147,4.1,396.2,296.2,222.2
BR0148,4.1,396.2,296.2,197.2
BR0149,4.1,396.2,296.2,182.2
BR0150,4.1,394.2,294.2,200.2
BR0151,4.1,394.2,294.2,237.2
BR0152,4.1,394.2,294.2,212.2
BR0153,4.1,394.2,294.2,240.2
BR0154,4.1,396.2,296.2,222.2
BR0155,4.1,394.2,294.2,212.2
BR0156,4.1,396.2,296.2,182.2
BR0157,4.1,394.2,294.2,264.2
BR0158,4.1,396.2,296.2,172.2
BR0159,4.1,394.2,294.2,172.2
BR0160,4.1,394.2,294.2,172.2
BR0161,4.1,396.2,296.2,197.2
BR0162,4.6,392.2,294.2,235.2
BR0163,4.1,394.2,294.2,222.2
BR0164,4.1,396.2,296.2,157.2
BR0165,4.6,392.2,294.2,200.2
BR0166,4.1,396.2,296.2,152.2
BR0167,2.7,400.4,301.4,153.4
BR0168,4.1,396.2,296.2,207.2
BR0169,4.6,392.2,294.2,220.2
BR0170,4.1,396.2,296.2,152.2
BR0171,4.8,389.6,291.6,176.6
BR0172,4.1,394.2,294.2,237.2
BR0173,4.1,394.2,294.2,217.2
BR0174,4.1,394.2,294.2,172.2
BR0175,4.1,394.2,294.2,296.2
BR0176,2.7,398.4,260.4,173.4
BR0177,2.7,398.4,260.4,173.4
BR0178,2.7,398.4,255.4,173.4
BR0179,4.8,393.6,295.6,157.6
BR0180,2.7,398.4,260.4,173.4
BR0181,2.7,398.4,260.4,173.4
BR0182,2.7,400.4,297.4,250.4
BR0183,2.7,398.4,260.4,224.4
BR0184,4.1,394.2,294.2,202.2
BR0185,2.7,398.4,260.4,291.4
BR0186,4.1,394.2,294.2,212.2
BR0187,2.7,398.4,260.4,296.4
BR0188,2.7,400.4,297.4,199.4
BR0189,2.7,398.4,260.4,250.4
BR0190,2.7,398.4,260.4,250.4
BR0191,2.7,398.4,260.4,224.4
BR0192,4.1,391.2,256.2,207.2
BR0193,2.7,398.4,260.4,291.4
BR0194,2.7,400.4,301.4,291.4
BR0195,2.7,400.4,301.4,296.4
BR0196,4.1,396.2,296.2,276.2
BR0197,4.1,396.2,296.2,202.2
BR0198,4.6,390.2,292.2,197.2
BR0199,4.1,396.2,296.2,227.2
BR0200,4.1,394.2,294.2,179.2
BR0201,2.7,400.4,301.4,219.4
BR0202,4.1,396.2,296.2,177.2
BR0203,2.7,398.4,260.4,214.4
BR0204,2.7,398.4,260.4,229.4
BR0205,4.1,394.2,294.2,237.2
BR0206,4.1,394.2,294.2,207.2
BR0207,4.1,394.2,294.2,207.2
BR0208,2.7,398.4,260.4,240.4
BR0209,4.1,392.2,292.2,187.2
BR0209XL,4.1,392.2,294.2,192.2
BR0210,4.1,396.2,296.2,177.2
BR0211,4.1,396.2,296.2,177.2
BR0212,4.1,396.2,296.2,361.2
BR0213,2.7,400.4,301.4,199.4
BR0214,2.7,400.4,301.4,183.4
BR0215,2.7,400.4,301.4,183.4
BR0216,2.7,398.4,260.4,173.4
BR0217,2.7,400.4,301.4,168.4
BR0218,4.1,394.2,294.2,177.2
BR0219,2.7,400.4,301.4,163.4
BR0220,2.7,398.4,260.4,189.4
BR0221,2.7,398.4,260.4,178.4
BR0222,2.7,398.4,260.4,204.4
BR0223,2.7,398.4,260.4,189.4
BR0224,2.7,398.4,260.4,153.4
BR0225,4.1,391.2,256.2,162.2
BR0226,2.7,398.4,260.4,189.4
BR0227,4.1,391.2,256.2,187.2
BR0228,2.7,398.4,260.4,189.4
BR0229,2.7,398.4,260.4,204.4
BR0230,2.7,400.4,301.4,143.4
BR0231,2.7,400.4,301.4,173.4
BR0232,4.1,394.2,294.2,264.2
BR0233,2.7,400.4,301.4,296.4
BR0234,2.7,398.4,260.4,189.4
BR0235,2.5,398.0,260.0,270.0
BR0236,2.5,398.0,260.0,265.0
BR0237,4.1,396.2,296.2,237.2
BR0238,4.8,389.6,291.6,280.6
BR0239,4.1,391.2,256.2,261.2
BR0240,4.1,391.2,256.2,261.2
BR0241,4.8,389.6,291.6,260.6
BR0242,4.1,394.2,294.2,261.2
BR0243,4.1,394.2,294.2,291.2
BR0244,4.1,394.2,294.2,261.2
BR0245,4.6,387.2,254.2,244.2
BR0246,4.6,387.2,254.2,254.2
BR0247,4.1,393.2,263.2,326.2
BR0248,2.5,400.0,269.0,335.0
BR0249,4.1,394.2,294.2,296.2
BR0250,4.1,394.2,294.2,296.2
BR0251,4.1,393.2,263.2,336.2
BR0252,4.1,393.2,263.2,336.2
BR0253,2.5,400.0,269.0,335.0
BR0254,2.5,400.0,269.0,335.0
BR0255,4.1,387.2,276.2,371.2
BR0256,4.1,387.2,276.2,366.2
BR0257,4.1,394.2,294.2,296.2
BR0258,4.1,394.2,294.2,296.2
BR0259,4.1,391.2,256.2,252.2
BR0260,2.7,398.4,260.4,214.4
BR0261,2.7,398.4,260.4,199.4
BR0262,2.7,398.4,260.4,199.4
BR0263,4.1,391.2,256.2,202.2
BR0264,4.1,391.2,256.2,207.2
BR0265,4.1,391.2,256.2,192.2
BR0266,2.7,400.4,301.4,255.4
BR0267,4.1,393.2,263.2,326.2
BR0268,4.1,394.2,294.2,187.2
BR0269,4.1,394.2,294.2,192.2
BR0270,4.1,396.2,296.2,202.2
BR0271,4.1,394.2,294.2,207.2
BR0272,4.1,396.2,296.2,247.2
BR0273,4.1,394.2,294.2,222.2
BR0274,4.1,394.2,294.2,271.2
BR0275,4.1,396.2,296.2,172.2
BR0276,4.1,394.2,294.2,172.2
BR0277,4.1,394.2,294.2,291.2
BR0278,4.1,394.2,294.2,291.2
BR0279,4.1,394.2,294.2,271.2
BR0280,4.1,394.2,294.2,264.2
BR0281,4.6,390.2,292.2,238.2
BR0282,2.7,400.4,301.4,260.4
BR0283,4.1,396.2,296.2,235.2
BR0284,4.8,389.6,291.6,219.6
BR0285,4.8,393.6,295.6,176.6
BR0286,4.8,389.6,291.6,194.6
BR0287,4.1,394.2,294.2,291.2
BR0288,2.7,400.4,250.4,219.4
BR0289,4.1,391.2,256.2,212.2
BR0290,2.7,400.4,301.4,296.4
BR0291,2.7,400.4,301.4,194.4
BR0292,2.7,400.4,301.4,280.4
BR0293,4.1,396.2,296.2,227.2
BR0294,2.7,400.4,301.4,178.4
BR0295,2.7,400.4,301.4,229.4
BR0296,2.7,400.4,301.4,229.4
BR0297,4.1,396.2,296.2,152.2
BR0298,4.1,394.2,294.2,152.2
BR0299,4.1,394.2,294.2,227.2
BR0300,4.8,388.6,255.6,221.6
BR0301,4.8,388.6,255.6,260.6
BR0302,4.8,388.6,255.6,216.6
BR0303,4.6,389.2,261.2,153.2
BR0304,2.7,398.4,255.4,173.4
BR0305,4.8,388.6,290.6,280.6
BR0306,4.1,394.2,294.2,266.2
BR0307,4.8,389.6,291.6,270.6
BR0308,4.8,389.6,291.6,221.6
BR0309,4.8,393.6,295.6,176.6
BR0310,2.7,398.4,260.4,296.4
BR0310XL,2.7,398.4,302.4,262.4
BR0311,2.7,400.4,301.4,209.4
BR0312,2.7,400.4,301.4,209.4
BR0313,2.7,400.4,301.4,209.4
BR0314,4.1,392.2,292.2,187.2
BR0314XL,4.1,392.2,294.2,187.2
BR0315,4.7,394.4,294.4,179.4
BR0316,4.8,389.6,291.6,172.6
BR0317,4.8,389.6,291.6,172.6
BR0318,4.1,394.2,294.2,202.2
BR0319,4.8,389.6,291.6,167.6
BR0320,4.7,396.4,296.4,223.4
BR0321,4.1,391.2,256.2,252.2
BR0322,4.1,394.2,294.2,237.2
BR0323,2.7,400.4,301.4,240.4
BR0324,4.1,391.2,256.2,197.2
BR0325,2.7,398.4,260.4,270.4
BR0326,4.1,391.2,256.2,266.2
BR0327,4.1,391.2,256.2,276.2
BR0328,4.1,391.2,256.2,222.2
BR0329,4.1,391.2,256.2,232.2
BR0330,4.1,391.2,256.2,222.2
BR0331,4.1,391.2,256.2,232.2
BR0332,2.7,398.4,260.4,260.4
BR0333,4.8,389.6,291.6,221.6
BR0334,2.7,398.4,260.4,240.4
BR0335,2.7,398.4,260.4,240.4
BR0336,4.8,389.6,291.6,201.6
BR0337,4.1,391.2,256.2,217.2
BR0338,4.1,394.2,294.2,182.2
BR0339,4.1,391.2,256.2,256.2
BR0340,2.7,398.4,260.4,229.4
BR0340XL,2.7,398.4,260.4,240.4
BR0341,4.1,391.2,256.2,222.2
BR0342,2.7,398.4,260.4,240.4
BR0343,2.7,398.4,260.4,326.4
BR0344,2.7,398.4,260.4,296.4
BR0345,4.5,400.0,301.0,325.0
BR0346,4.1,394.2,294.2,247.2
BR0347,4.1,394.2,294.2,247.2
BR0348,4.8,389.6,291.6,314.6
BR0349,2.7,400.4,301.4,250.4
BR0350,4.6,392.2,294.2,215.2
BR0351,4.6,392.2,294.2,215.2
BR0352,2.7,398.4,260.4,296.4
BR0353,4.6,389.2,261.2,254.2
BR0354,2.7,398.4,260.4,275.4
BR0355,2.7,398.4,260.4,209.4
BR0356,2.7,398.4,260.4,270.4
BR0357,4.1,391.2,256.2,237.2
BR0358,2.7,400.4,301.4,250.4
BR0359,4.6,389.2,261.2,237.2
BR0360,4.1,394.2,294.2,207.2
BR0361,4.1,394.2,294.2,172.2
BR0362,2.7,400.4,301.4,265.4
BR0363,4.1,394.2,294.2,281.2
BR0364,2.7,400.4,301.4,224.4
BR0365,4.1,394.2,294.2,187.2
BR0366,2.7,400.4,299.4,219.4
BR0367,4.1,394.2,294.2,207.2
BR0368,4.1,394.2,294.2,192.2
BR0369,2.7,400.4,301.4,265.4
BR0370,2.7,400.4,301.4,229.4
BR0371,2.7,400.4,301.4,245.4
BR0372,2.7,400.4,301.4,255.4
BR0373,2.7,400.4,301.4,291.4
BR0374,2.7,400.4,301.4,250.4
BR0375,4.1,394.2,294.2,271.2
BR0376,2.7,400.4,299.4,255.4
BR0377,2.7,400.4,299.4,255.4
BR0378,2.7,398.4,260.4,255.4
BR0379,2.7,398.4,260.4,255.4
BR0380,2.5,398.0,260.0,255.0
BR0381,2.7,398.4,260.4,235.4
BR0382,2.7,398.4,260.4,235.4
BR0383,2.7,398.4,260.4,235.4
BR0384,2.7,398.4,260.4,219.4
BR0385,2.7,398.4,260.4,219.4
BR0386,4.1,394.2,294.2,237.2
BR0387,4.1,394.2,294.2,207.2
BR0388,4.1,391.2,256.2,232.2
BR0389,2.7,398.4,260.4,224.4
BR0390,2.7,398.4,260.4,255.4
BR0391,2.7,398.4,260.4,199.4
BR0392,4.5,400.0,301.0,181.0
BR0393,2.7,398.4,260.4,199.4
BR0394,4.1,391.2,256.2,202.2
BR0395,4.1,391.2,256.2,197.2
BR0396,4.1,396.2,296.2,217.2
BR0397,2.7,400.4,301.4,219.4
BR0398,4.1,394.2,294.2,217.2
BR0399,4.1,394.2,294.2,306.2
BR0400,4.1,396.2,296.2,301.2
BR0401,2.7,400.4,301.4,199.4
BR0402,4.1,394.2,294.2,182.2
BR0403,4.1,391.2,256.2,326.2
BR0404,4.1,391.2,256.2,242.2
BR0405,4.1,394.2,294.2,187.2
BR0406,4.1,394.2,294.2,311.2
BR0407,4.1,394.2,294.2,271.2
BR0408,4.1,394.2,294.2,311.2
BR0409,4.1,391.2,256.2,242.2
BR0410,4.8,389.6,291.6,295.6
BR0411,4.1,394.2,294.2,212.2
BR0412,4.1,394.2,294.2,237.2
BR0413,4.1,394.2,294.2,247.2
BR0414,4.1,394.2,294.2,187.2
