codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0001,5,396.0,295.0,328.0
BR0001,5,396.0,295.0,313.0
BR0001,5,405.0,274.0,340.0
BR0001,5,400.0,300.0,311.0
BR0001,5,400.0,298.0,326.0
BR0001,5,400.0,300.0,316.0
BR0002,5,400.0,300.0,296.0
BR0002,5,396.0,295.0,293.0
BR0002,5,396.0,295.0,288.0
BR0002,5,398.0,297.0,288.0
BR0002,5,398.0,297.0,283.0
BR0002,5,400.0,300.0,270.0
BR0002,5,396.0,295.0,296.0
BR0002,5,396.0,295.0,283.0
BR0002,5,400.0,300.0,290.0
BR0002,5,398.0,297.0,293.0
BR0002,5,400.0,300.0,280.0
BR0002,5,400.0,300.0,285.0
BR0002,5,398.0,297.0,278.0
BR0002,5,396.0,295.0,278.0
BR0002,5,390.0,292.0,296.0
BR0003,5,394.0,295.0,177.0
BR0003,5,390.0,292.0,182.0
BR0003,5,400.0,300.0,183.0
BR0003,5,394.0,295.0,189.0
BR0003,5,398.0,297.0,179.0
BR0003,5,394.0,293.0,189.0
BR0003,5,398.0,297.0,189.0
BR0003,5,400.0,300.0,173.0
BR0003,5,396.0,295.0,181.0
BR0003,5,396.0,295.0,179.0
BR0003,5,400.0,300.0,188.0
BR0003,5,398.0,297.0,184.0
BR0003,5,400.0,300.0,183.0
BR0003,5,396.0,295.0,184.0
BR0003,5,398.0,297.0,174.0
BR0003,5,395.0,294.0,180.0
BR0003,5,396.0,295.0,189.0
BR0003,5,400.0,298.0,182.0
BR0003,5,400.0,300.0,178.0
BR0003,5,390.0,292.0,185.0
BR0004,5,396.0,295.0,249.0
BR0004,5,400.0,300.0,250.0
BR0004,5,398.0,297.0,249.0
BR0004,5,398.0,297.0,239.0
BR0004,5,400.0,300.0,245.0
BR0004,5,400.0,298.0,255.0
BR0004,5,396.0,295.0,242.0
BR0004,5,400.0,300.0,255.0
BR0004,5,396.0,295.0,254.0
BR0004,5,400.0,300.0,234.0
BR0005,5,396.0,295.0,273.0
BR0005,5,396.0,295.0,266.0
BR0005,5,400.0,299.0,260.0
BR0005,5,390.0,292.0,271.0
BR0005,5,396.0,295.0,268.0
BR0005,5,396.0,295.0,288.0
BR0005,5,405.0,300.0,265.0
BR0005,5,390.0,292.0,281.0
BR0005,5,398.0,297.0,288.0
BR0005,5,398.0,297.0,283.0
BR0005,5,400.0,300.0,270.0
BR0005,5,396.0,295.0,283.0
BR0005,5,400.0,300.0,260.0
BR0005,5,396.0,295.0,263.0
BR0005,5,389.0,290.0,281.0
BR0005,5,390.0,292.0,276.0
BR0005,5,400.0,300.0,280.0
BR0005,5,400.0,300.0,285.0
BR0005,5,400.0,300.0,265.0
BR0005,5,400.0,301.0,267.0
BR0005,5,398.0,297.0,278.0
BR0005,5,396.0,295.0,278.0
BR0006,5,400.0,300.0,296.0
BR0006,5,396.0,295.0,308.0
BR0006,5,398.0,297.0,303.0
BR0006,5,396.0,295.0,298.0
BR0006,5,396.0,295.0,313.0
