codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0001,4.5,395.0,295.0,327.0
BR0002,4.5,397.0,297.0,287.0
BR0003,4.5,397.0,297.0,178.0
BR0004,4.5,397.0,297.0,248.0
BR0005,4.5,397.0,297.0,282.0
BR0006,4.5,395.0,295.0,297.0
BR0007,4.5,400.0,301.0,325.0
BR0008,4.5,397.0,297.0,198.0
BR0009,4.5,397.0,297.0,198.0
BR0010,4.5,397.0,297.0,178.0
BR0011,4.5,395.0,295.0,297.0
BR0012,4.5,397.0,297.0,223.0
BR0013,4.5,397.0,297.0,248.0
BR0014,4.5,395.0,295.0,253.0
BR0015,4.5,395.0,295.0,253.0
BR0016,4.5,395.0,295.0,253.0
BR0017,4.5,397.0,297.0,248.0
BR0018,4.5,395.0,295.0,297.0
BR0019,4.5,402.0,264.0,284.0
BR0020,4.5,389.0,261.0,227.0
BR0021,4.5,392.0,257.0,223.0
BR0022,4.5,400.0,264.0,249.0
BR0023,4.5,392.0,257.0,198.0
BR0024,4.5,400.0,264.0,249.0
BR0025,4.5,397.0,297.0,198.0
BR0026,4.5,395.0,295.0,241.0
BR0027,4.5,397.0,297.0,178.0
BR0028,4.5,395.0,295.0,241.0
BR0029,4.5,397.0,297.0,178.0
BR0030,4.5,397.0,297.0,178.0
BR0031,4.5,397.0,297.0,178.0
BR0032,4.5,397.0,297.0,178.0
BR0033,4.5,397.0,297.0,198.0
BR0034,4.5,392.0,257.0,198.0
BR0035,4.5,395.0,295.0,241.0
BR0036,4.5,397.0,297.0,178.0
BR0037,4.5,402.0,264.0,254.0
BR0038,4.5,400.0,264.0,249.0
BR0039,4.5,402.0,264.0,254.0
BR0040,4.5,400.0,264.0,249.0
BR0041,4.5,400.0,264.0,249.0
BR0042,4.5,392.0,257.0,218.0
BR0043,4.5,392.0,257.0,163.0
BR0044,4.5,392.0,257.0,163.0
BR0045,4.5,384.0,191.0,161.0
BR0046,4.5,392.0,257.0,163.0
BR0047,4.5,392.0,257.0,163.0
BR0048,4.5,400.0,264.0,249.0
BR0049,4.5,400.0,264.0,249.0
BR0050,4.5,400.0,264.0,239.0
BR0051,4.5,400.0,264.0,249.0
BR0052,4.5,400.0,264.0,249.0
BR0053,4.5,400.0,264.0,239.0
BR0054,4.5,400.0,264.0,249.0
BR0055,4.5,400.0,264.0,249.0
BR0056,4.5,400.0,264.0,249.0
BR0057,4.5,400.0,264.0,249.0
BR0058,4.5,384.0,191.0,161.0
BR0059,4.5,400.0,264.0,249.0
BR0060,4.5,400.0,264.0,249.0
BR0061,4.5,400.0,264.0,249.0
BR0062,4.5,400.0,264.0,249.0
BR0063,4.5,400.0,264.0,249.0
BR0064,4.5,400.0,264.0,249.0
BR0065,4.5,397.0,297.0,178.0
BR0066,4.5,397.0,297.0,178.0
BR0067,4.5,392.0,257.0,277.0
BR0068,4.5,397.0,297.0,223.0
BR0069,4.5,400.0,264.0,239.0
BR0070,4.5,389.0,261.0,227.0
BR0071,4.5,400.0,264.0,239.0
BR0072,4.5,400.0,264.0,239.0
BR0073,4.5,397.0,297.0,178.0
BR0074,4.5,395.0,295.0,272.0
BR0075,4.5,397.0,297.0,287.0
BR0076,4.5,392.0,257.0,188.0
BR0077,4.5,397.0,297.0,282.0
BR0078,4.5,397.0,297.0,287.0
BR0079,4.5,402.0,264.0,295.0
BR0080,4.5,402.0,264.0,300.0
BR0081,4.5,402.0,264.0,300.0
BR0082,4.5,395.0,295.0,312.0
BR0083,4.5,397.0,297.0,287.0
BR0084,4.5,402.0,264.0,295.0
BR0085,4.5,402.0,264.0,300.0
BR0086,4.5,400.0,264.0,249.0
BR0087,4.5,392.0,257.0,223.0
BR0088,4.5,400.0,264.0,249.0
BR0089,4.5,400.0,264.0,249.0
BR0090,4.5,392.0,257.0,223.0
BR0091,4.5,392.0,257.0,223.0
BR0092,4.5,392.0,257.0,277.0
BR0092XL,4.5,397.0,297.0,248.0
BR0093,4.5,392.0,257.0,277.0
BR0094,4.5,400.0,264.0,249.0
BR0095,4.5,400.0,264.0,249.0
BR0096,4.5,389.0,261.0,227.0
BR0097,4.5,392.0,257.0,223.0
BR0098,4.5,389.0,261.0,235.0
BR0099,4.5,392.0,257.0,223.0
BR0100,4.5,397.0,297.0,198.0
BR0101,4.5,397.0,297.0,198.0
BR0102,4.5,397.0,297.0,198.0
BR0103,4.5,397.0,297.0,223.0
BR0104,4.5,397.0,297.0,223.0
BR0105,4.5,397.0,297.0,198.0
BR0106,4.5,400.0,264.0,249.0
BR0107,4.5,400.0,264.0,249.0
BR0108,4.5,400.0,301.0,325.0
BR0109,4.5,400.0,301.0,325.0
BR0110,4.5,400.0,264.0,249.0
BR0111,4.5,389.0,261.0,227.0
BR0112,4.5,389.0,261.0,235.0
BR0113,4.5,395.0,295.0,297.0
BR0114,4.5,397.0,297.0,282.0
BR0115,4.5,395.0,295.0,297.0
BR0116,4.5,397.0,297.0,178.0
BR0117,4.5,397.0,297.0,287.0
BR0118,4.5,395.0,295.0,241.0
BR0119,4.5,397.0,297.0,208.0
BR0120,4.5,397.0,297.0,223.0
BR0121,4.5,397.0,297.0,357.0
BR0122,4.5,404.0,305.0,361.0
BR0123,4.5,395.0,295.0,297.0
BR0124,4.5,404.0,305.0,361.0
BR0125,4.5,397.0,297.0,223.0
BR0126,4.5,397.0,297.0,287.0
BR0127,4.5,397.0,297.0,223.0
BR0128,4.5,389.0,261.0,235.0
BR0129,4.5,389.0,261.0,235.0
BR0130,4.5,397.0,297.0,277.0
BR0131,4.5,397.0,297.0,287.0
BR0132,4.5,400.0,264.0,249.0
BR0133,4.5,400.0,264.0,249.0
BR0134,4.5,395.0,295.0,297.0
BR0135,4.5,395.0,295.0,297.0
BR0136,4.5,395.0,295.0,297.0
BR0136XL,4.5,395.0,295.0,297.0
BR0137,4.5,394.0,264.0,337.0
BR0138,4.5,392.0,257.0,163.0
BR0139,4.5,395.0,295.0,297.0
BR0140,4.5,395.0,295.0,253.0
BR0141,4.5,395.0,295.0,253.0
BR0142,4.5,395.0,295.0,327.0
BR0143,4.5,395.0,295.0,297.0
BR0144,4.5,397.0,297.0,223.0
BR0145,4.5,397.0,297.0,198.0
BR0146,4.5,397.0,297.0,193.0
BR0147,4.5,397.0,297.0,223.0
BR0148,4.5,397.0,297.0,198.0
BR0149,4.5,397.0,297.0,198.0
BR0150,4.5,395.0,295.0,213.0
BR0151,4.5,395.0,295.0,253.0
BR0152,4.5,397.0,297.0,223.0
BR0153,4.5,395.0,295.0,253.0
BR0154,4.5,397.0,297.0,223.0
BR0155,4.5,397.0,297.0,223.0
BR0156,4.5,397.0,297.0,198.0
BR0157,4.5,397.0,297.0,287.0
BR0158,4.5,397.0,297.0,178.0
BR0159,4.5,397.0,297.0,178.0
BR0160,4.5,397.0,297.0,178.0
BR0161,4.5,397.0,297.0,198.0
BR0162,4.5,395.0,295.0,253.0
BR0163,4.5,397.0,297.0,223.0
BR0164,4.5,397.0,297.0,158.0
BR0165,4.5,397.0,297.0,198.0
BR0166,4.5,397.0,297.0,158.0
BR0167,4.5,395.0,295.0,168.0
BR0168,4.5,397.0,297.0,223.0
BR0169,4.5,397.0,297.0,223.0
BR0170,4.5,397.0,297.0,158.0
BR0171,4.5,397.0,297.0,178.0
BR0172,4.5,395.0,295.0,253.0
