codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0001,3,394.0,294.0,311.8
BR0002,3,392.0,320.6,274.0
BR0003,3,392.0,292.0,178.8
BR0004,3,394.0,294.0,241.4
BR0005,3,394.0,294.0,268.9
BR0006,3,394.0,294.0,289.0
BR0007,3,394.0,294.0,311.8
BR0008,3,389.0,291.0,195.9
BR0009,3,392.0,292.0,190.0
BR0010,3,394.0,294.0,171.6
BR0011,3,394.0,294.0,289.0
BR0012,3,394.0,294.0,225.0
BR0013,3,394.0,294.0,241.4
BR0014,3,394.0,294.0,255.7
BR0015,3,394.0,294.0,255.7
BR0016,3,394.0,294.0,255.7
BR0017,3,394.0,294.0,241.4
BR0018,3,394.0,294.0,311.8
BR0019,3,385.0,276.6,282.1
BR0020,3,385.0,276.6,222.7
BR0021,3,392.0,263.4,198.6
BR0022,3,385.0,276.6,239.2
BR0023,3,392.0,263.4,191.9
BR0024,3,389.0,262.5,254.6
BR0025,3,392.0,292.0,190.0
BR0026,3,394.0,294.0,225.0
BR0027,3,394.0,294.0,175.0
BR0028,3,394.0,294.0,225.0
BR0029,3,394.0,294.0,175.0
BR0030,3,392.0,292.0,178.8
BR0031,3,394.0,294.0,175.0
BR0032,3,394.0,294.0,175.0
BR0033,3,389.0,291.0,195.9
BR0034,3,392.0,263.4,177.0
BR0035,3,392.0,320.6,224.9
BR0036,3,394.0,294.0,175.0
BR0037,3,384.0,275.5,264.5
BR0038,3,389.0,262.5,254.6
BR0039,3,384.0,275.5,264.5
BR0040,3,389.0,262.5,254.6
BR0041,3,389.0,262.5,254.6
BR0042,3,392.0,263.4,212.1
BR0043,3,392.0,263.4,149.1
BR0044,3,392.0,263.4,149.1
BR0045,3,381.0,188.0,158.0
BR0046,3,392.0,263.4,149.1
BR0047,3,392.0,263.4,149.1
BR0048,3,389.0,262.5,254.6
BR0049,3,389.0,262.5,254.6
BR0050,3,393.0,264.3,220.0
BR0051,3,386.0,264.3,246.9
BR0052,3,386.0,264.3,246.9
BR0053,3,393.0,264.3,220.0
BR0054,3,386.0,264.3,246.9
BR0055,3,386.0,264.3,246.9
BR0056,3,386.0,264.3,246.9
BR0057,3,386.0,259.8,245.4
BR0058,3,381.0,188.0,158.0
BR0059,3,386.0,264.3,246.9
BR0060,3,386.0,264.3,246.9
BR0061,3,386.0,264.3,246.9
BR0062,3,386.0,264.3,246.9
BR0063,3,386.0,264.3,246.9
BR0064,3,386.0,264.3,246.9
BR0065,3,392.0,292.0,178.8
BR0066,3,394.0,294.0,176.1
BR0067,3,384.0,275.5,264.5
BR0068,3,392.0,292.0,223.0
BR0069,3,385.0,276.6,222.7
BR0070,3,385.0,276.6,222.7
BR0071,3,385.0,276.6,222.7
BR0072,3,385.0,276.6,222.7
BR0073,3,392.0,292.0,178.8
BR0074,3,392.0,320.6,246.9
BR0075,3,392.0,320.6,274.0
BR0076,3,392.0,263.4,177.0
BR0077,3,392.0,292.0,274.4
BR0078,3,392.0,320.6,274.0
BR0079,3,385.0,276.6,282.1
BR0080,3,385.0,276.6,282.1
BR0081,3,392.0,263.4,295.3
BR0082,3,394.0,294.0,300.8
BR0083,3,392.0,320.6,274.0
BR0084,3,385.0,276.6,282.1
BR0085,3,385.0,276.6,282.1
BR0086,3,386.0,264.3,246.9
BR0087,3,392.0,263.4,212.1
BR0088,3,389.0,262.5,254.6
BR0089,3,389.0,262.5,254.6
BR0090,3,393.0,264.3,220.0
BR0091,3,393.0,264.3,220.0
BR0092,3,384.0,275.5,264.5
BR0092XL,3,394.0,294.0,241.4
BR0093,3,384.0,275.5,264.5
BR0094,3,385.0,276.6,239.2
BR0095,3,385.0,276.6,239.2
BR0096,3,385.0,276.6,222.7
BR0097,3,392.0,263.4,198.6
BR0098,3,385.0,276.6,222.7
BR0099,3,392.0,263.4,198.6
