codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0001,5,396.0,300.0,314.0
BR0002,5,399.0,300.0,281.0
BR0003,5,399.0,300.0,173.0
BR0004,5,399.0,297.0,245.0
BR0005,5,396.0,300.0,266.0
BR0006,5,399.0,300.0,290.0
BR0007,5,399.0,300.0,329.0
BR0008,5,399.0,288.0,200.0
BR0009,5,399.0,288.0,200.0
BR0010,5,399.0,297.0,176.0
BR0011,5,396.0,300.0,293.0
BR0012,5,399.0,300.0,221.0
BR0013,5,399.0,297.0,245.0
BR0014,5,396.0,300.0,251.0
BR0015,5,396.0,300.0,251.0
BR0016,5,396.0,300.0,251.0
BR0017,5,399.0,297.0,245.0
BR0018,5,399.0,300.0,293.0
BR0019,5,399.0,288.0,251.0
BR0020,5,399.0,288.0,200.0
BR0021,5,396.0,240.0,224.0
BR0022,5,399.0,288.0,224.0
BR0023,5,399.0,279.0,173.0
BR0024,5,396.0,288.0,230.0
BR0025,5,399.0,288.0,200.0
BR0026,5,399.0,288.0,242.0
BR0027,5,396.0,300.0,179.0
BR0028,5,399.0,300.0,224.0
BR0029,5,396.0,300.0,179.0
BR0030,5,399.0,297.0,176.0
BR0031,5,396.0,300.0,179.0
BR0032,5,396.0,300.0,179.0
BR0033,5,396.0,300.0,194.0
BR0034,5,399.0,240.0,200.0
BR0035,5,399.0,300.0,233.0
BR0036,5,396.0,300.0,179.0
BR0037,5,396.0,288.0,239.0
BR0038,5,396.0,288.0,230.0
BR0039,5,396.0,288.0,239.0
BR0040,5,396.0,288.0,230.0
BR0041,5,396.0,288.0,230.0
BR0042,5,399.0,288.0,191.0
BR0043,5,399.0,237.0,167.0
BR0044,5,399.0,237.0,167.0
BR0045,5,399.0,198.0,152.0
BR0046,5,399.0,237.0,167.0
BR0047,5,399.0,237.0,167.0
BR0048,5,399.0,282.0,224.0
BR0049,5,396.0,240.0,275.0
BR0050,5,399.0,240.0,245.0
BR0051,5,399.0,282.0,224.0
BR0052,5,399.0,282.0,224.0
BR0053,5,399.0,240.0,245.0
BR0054,5,396.0,240.0,275.0
BR0055,5,399.0,282.0,224.0
BR0056,5,399.0,282.0,224.0
BR0057,5,396.0,240.0,254.0
BR0058,5,399.0,198.0,152.0
BR0059,5,396.0,240.0,275.0
BR0060,5,396.0,240.0,257.0
BR0061,5,396.0,240.0,257.0
BR0062,5,396.0,240.0,257.0
BR0063,5,396.0,240.0,257.0
BR0064,5,396.0,240.0,275.0
BR0065,5,396.0,300.0,179.0
BR0066,5,399.0,300.0,173.0
BR0067,5,399.0,288.0,242.0
BR0068,5,396.0,300.0,224.0
BR0069,5,399.0,288.0,218.0
BR0070,5,399.0,288.0,200.0
BR0071,5,396.0,288.0,215.0
BR0072,5,396.0,288.0,215.0
BR0073,5,399.0,300.0,173.0
BR0074,5,396.0,300.0,266.0
BR0075,5,399.0,300.0,281.0
BR0076,5,396.0,288.0,167.0
BR0077,5,396.0,300.0,260.0
BR0078,5,399.0,300.0,281.0
BR0079,5,399.0,288.0,257.0
BR0080,5,399.0,285.0,263.0
BR0081,5,399.0,288.0,266.0
BR0082,5,399.0,300.0,308.0
BR0083,5,399.0,300.0,281.0
BR0084,5,399.0,288.0,257.0
BR0085,5,399.0,285.0,263.0
BR0086,5,399.0,240.0,254.0
BR0087,5,399.0,240.0,242.0
BR0088,5,396.0,288.0,230.0
BR0089,5,396.0,240.0,266.0
BR0090,5,396.0,240.0,239.0
BR0091,5,399.0,279.0,200.0
BR0092,5,399.0,288.0,242.0
BR0092XL,5,399.0,297.0,245.0
BR0093,5,399.0,288.0,242.0
BR0094,5,399.0,288.0,218.0
BR0095,5,399.0,288.0,218.0
BR0096,5,399.0,288.0,200.0
BR0097,5,396.0,240.0,218.0
BR0098,5,399.0,288.0,218.0
BR0099,5,396.0,240.0,224.0
BR0100,5,399.0,288.0,200.0
BR0101,5,396.0,300.0,179.0
BR0102,5,399.0,297.0,197.0
BR0103,5,399.0,297.0,209.0
BR0104,5,399.0,297.0,209.0
BR0105,5,399.0,297.0,188.0
BR0106,5,399.0,288.0,224.0
BR0107,5,396.0,288.0,239.0
BR0108,5,399.0,300.0,329.0
BR0109,5,399.0,300.0,329.0
BR0110,5,399.0,288.0,218.0
BR0111,5,399.0,288.0,200.0
BR0112,5,399.0,288.0,218.0
BR0113,5,399.0,300.0,290.0
BR0114,5,399.0,300.0,275.0
BR0115,5,399.0,300.0,287.0
BR0116,5,399.0,297.0,176.0
BR0117,5,399.0,300.0,281.0
BR0118,5,396.0,300.0,239.0
BR0119,5,399.0,300.0,212.0
BR0120,5,399.0,297.0,224.0
BR0121,5,399.0,300.0,356.0
BR0122,5,399.0,300.0,377.0
BR0123,5,399.0,300.0,290.0
BR0124,5,399.0,300.0,377.0
BR0125,5,399.0,288.0,218.0
BR0126,5,399.0,300.0,254.0
BR0127,5,399.0,288.0,218.0
BR0128,5,399.0,288.0,218.0
BR0129,5,399.0,288.0,218.0
BR0130,5,399.0,297.0,272.0
BR0131,5,399.0,300.0,290.0
BR0132,5,399.0,279.0,224.0
BR0133,5,399.0,279.0,224.0
BR0134,5,399.0,300.0,281.0
BR0135,5,399.0,300.0,281.0
BR0136,5,399.0,300.0,293.0
BR0136XL,5,399.0,300.0,293.0
BR0137,5,399.0,288.0,299.0
BR0138,5,399.0,237.0,167.0
BR0139,5,399.0,300.0,290.0
BR0140,5,399.0,300.0,245.0
BR0141,5,399.0,300.0,245.0
BR0142,5,399.0,300.0,329.0
BR0143,5,399.0,300.0,263.0
BR0144,5,399.0,300.0,215.0
BR0145,5,399.0,288.0,200.0
BR0146,5,399.0,288.0,200.0
BR0147,5,396.0,300.0,224.0
BR0148,5,399.0,297.0,200.0
BR0149,5,399.0,288.0,191.0
BR0150,5,399.0,297.0,200.0
BR0151,5,396.0,300.0,239.0
BR0152,5,396.0,300.0,224.0
BR0153,5,396.0,300.0,239.0
BR0154,5,396.0,300.0,224.0
BR0155,5,399.0,300.0,218.0
BR0156,5,399.0,288.0,191.0
BR0157,5,396.0,300.0,266.0
BR0158,5,399.0,297.0,176.0
BR0159,5,399.0,297.0,173.0
BR0160,5,399.0,297.0,173.0
BR0161,5,399.0,297.0,200.0
BR0162,5,399.0,300.0,230.0
BR0163,5,396.0,300.0,224.0
BR0164,5,399.0,285.0,173.0
BR0165,5,399.0,297.0,197.0
BR0166,5,399.0,297.0,155.0
BR0167,5,399.0,300.0,164.0
BR0168,5,399.0,288.0,218.0
BR0169,5,399.0,297.0,224.0
BR0170,5,399.0,297.0,155.0
BR0171,5,399.0,297.0,173.0
BR0172,5,396.0,300.0,239.0
BR0173,5,396.0,300.0,224.0
BR0174,5,399.0,297.0,173.0
BR0175,5,399.0,300.0,296.0
BR0176,5,396.0,288.0,167.0
BR0177,5,396.0,288.0,167.0
BR0178,5,399.0,285.0,173.0
BR0179,5,399.0,300.0,155.0
BR0180,5,396.0,288.0,167.0
BR0181,5,396.0,288.0,167.0
BR0182,5,396.0,300.0,266.0
BR0183,5,396.0,288.0,215.0
BR0184,5,399.0,300.0,200.0
BR0185,5,399.0,285.0,278.0
BR0186,5,396.0,300.0,224.0
BR0187,5,399.0,288.0,281.0
BR0188,5,399.0,300.0,212.0
BR0189,5,396.0,288.0,239.0
BR0190,5,396.0,288.0,239.0
BR0191,5,396.0,288.0,215.0
BR0192,5,396.0,240.0,224.0
BR0193,5,399.0,285.0,278.0
BR0194,5,399.0,300.0,308.0
BR0195,5,396.0,300.0,314.0
BR0196,5,399.0,300.0,290.0
BR0197,5,396.0,288.0,215.0
BR0198,5,399.0,288.0,200.0
BR0199,5,399.0,288.0,242.0
BR0200,5,396.0,300.0,179.0
BR0201,5,399.0,300.0,233.0
BR0202,5,396.0,300.0,179.0
BR0203,5,399.0,288.0,218.0
BR0204,5,399.0,288.0,218.0
BR0205,5,396.0,300.0,239.0
BR0206,5,399.0,288.0,218.0
BR0207,5,399.0,288.0,218.0
BR0208,5,396.0,288.0,230.0
BR0209,5,399.0,288.0,191.0
BR0209XL,5,399.0,288.0,200.0
BR0210,5,396.0,300.0,179.0
BR0211,5,396.0,300.0,179.0
BR0212,5,399.0,300.0,362.0
BR0213,5,399.0,300.0,212.0
BR0214,5,399.0,297.0,197.0
