codigo_producto,caja_grosor_mm,caja_exterior_largo,caja_exterior_ancho,caja_exterior_alto
BR0001,3,400.0,300.0,300.0
BR0002,3,400.0,300.0,271.0
BR0003,3,400.0,300.0,180.0
BR0004,3,400.0,300.0,244.0
BR0005,3,400.0,300.0,257.0
BR0006,3,400.0,300.0,300.0
BR0007,3,400.0,300.0,300.0
BR0008,3,400.0,300.0,200.0
BR0009,3,400.0,300.0,180.0
BR0010,3,400.0,299.0,163.0
BR0011,3,400.0,300.0,300.0
BR0012,3,400.0,300.0,225.0
BR0013,3,400.0,300.0,244.0
BR0014,3,400.0,300.0,257.0
BR0015,3,400.0,300.0,257.0
BR0016,3,400.0,300.0,257.0
BR0017,3,400.0,300.0,244.0
BR0018,3,400.0,300.0,300.0
BR0019,3,400.0,277.0,257.0
BR0020,3,400.0,277.0,200.0
BR0021,3,400.0,240.0,217.0
BR0022,3,400.0,277.0,225.0
BR0023,3,400.0,240.0,196.0
BR0024,3,400.0,277.0,256.0
BR0025,3,400.0,300.0,180.0
BR0026,3,400.0,300.0,223.0
BR0027,3,400.0,300.0,180.0
BR0028,3,400.0,300.0,225.0
BR0029,3,400.0,300.0,180.0
BR0030,3,400.0,300.0,180.0
BR0031,3,400.0,300.0,180.0
BR0032,3,400.0,300.0,163.0
BR0033,3,400.0,300.0,200.0
BR0034,3,400.0,240.0,199.0
BR0035,3,400.0,300.0,225.0
BR0036,3,400.0,300.0,163.0
BR0037,3,400.0,277.0,257.0
BR0038,3,400.0,277.0,256.0
BR0039,3,400.0,277.0,257.0
BR0040,3,400.0,277.0,256.0
BR0041,3,400.0,277.0,256.0
BR0042,3,400.0,277.0,200.0
BR0043,3,400.0,240.0,159.0
BR0044,3,400.0,240.0,159.0
BR0045,3,400.0,199.0,150.0
BR0046,3,400.0,240.0,159.0
BR0047,3,400.0,240.0,159.0
BR0048,3,400.0,240.0,256.0
BR0049,3,399.0,238.0,264.0
BR0050,3,400.0,240.0,237.0
BR0051,3,400.0,240.0,248.0
BR0052,3,400.0,240.0,256.0
BR0053,3,400.0,240.0,237.0
BR0054,3,400.0,237.0,266.0
BR0055,3,400.0,240.0,256.0
BR0056,3,400.0,240.0,256.0
BR0057,3,400.0,240.0,246.0
BR0058,3,400.0,199.0,150.0
BR0059,3,400.0,274.0,257.0
BR0060,3,400.0,240.0,248.0
BR0061,3,400.0,240.0,248.0
BR0062,3,400.0,240.0,248.0
BR0063,3,400.0,240.0,248.0
BR0064,3,399.0,240.0,262.0
BR0065,3,400.0,300.0,180.0
BR0066,3,400.0,300.0,163.0
BR0067,3,400.0,277.0,257.0
BR0068,3,400.0,300.0,225.0
BR0069,3,400.0,277.0,225.0
BR0070,3,400.0,277.0,200.0
BR0071,3,400.0,277.0,225.0
BR0072,3,400.0,277.0,225.0
BR0073,3,400.0,300.0,180.0
BR0074,3,400.0,300.0,257.0
BR0075,3,400.0,300.0,282.0
BR0076,3,400.0,277.0,180.0
BR0077,3,400.0,300.0,249.0
BR0078,3,400.0,300.0,282.0
BR0079,3,400.0,277.0,256.0
BR0080,3,400.0,277.0,293.0
BR0081,3,400.0,277.0,298.0
BR0082,3,400.0,300.0,300.0
BR0083,3,400.0,300.0,282.0
BR0084,3,400.0,277.0,257.0
BR0085,3,400.0,277.0,293.0
BR0086,3,400.0,240.0,249.0
BR0087,3,400.0,240.0,233.0
BR0088,3,400.0,277.0,256.0
BR0089,3,400.0,240.0,257.0
BR0090,3,400.0,240.0,233.0
BR0091,3,400.0,240.0,223.0
BR0092,3,400.0,277.0,257.0
BR0092XL,3,400.0,300.0,244.0
BR0093,3,400.0,277.0,257.0
BR0094,3,400.0,277.0,225.0
BR0095,3,400.0,277.0,225.0
BR0096,3,400.0,277.0,200.0
BR0097,3,400.0,240.0,207.0
BR0098,3,400.0,277.0,225.0
BR0099,3,400.0,240.0,217.0
BR0100,3,400.0,300.0,180.0
BR0101,3,400.0,300.0,180.0
BR0102,3,400.0,300.0,195.0
BR0103,3,400.0,300.0,200.0
BR0104,3,400.0,300.0,200.0
BR0105,3,400.0,300.0,180.0
BR0106,3,400.0,277.0,225.0
BR0107,3,400.0,277.0,257.0
BR0108,3,400.0,300.0,326.0
BR0109,3,400.0,300.0,331.0
BR0110,3,400.0,277.0,225.0
BR0111,3,400.0,277.0,200.0
BR0112,3,400.0,277.0,225.0
BR0113,3,400.0,277.0,300.0
BR0114,3,400.0,300.0,277.0
BR0115,3,400.0,300.0,300.0
BR0116,3,400.0,300.0,180.0
BR0117,3,400.0,300.0,257.0
BR0118,3,400.0,300.0,238.0
BR0119,3,400.0,300.0,200.0
BR0120,3,400.0,300.0,225.0
BR0121,3,400.0,300.0,360.0
BR0122,3,400.0,300.0,380.0
BR0123,3,400.0,300.0,300.0
BR0124,3,400.0,300.0,380.0
BR0125,3,400.0,300.0,200.0
BR0126,3,400.0,300.0,257.0
BR0127,3,400.0,300.0,200.0
BR0128,3,400.0,277.0,225.0
BR0129,3,400.0,277.0,225.0
BR0130,3,400.0,300.0,271.0
BR0131,3,400.0,300.0,271.0
BR0132,3,400.0,240.0,249.0
BR0133,3,400.0,240.0,250.0
BR0134,3,400.0,300.0,282.0
BR0135,3,400.0,300.0,282.0
BR0136,3,400.0,300.0,300.0
BR0136XL,3,400.0,300.0,300.0
BR0137,3,400.0,277.0,300.0
BR0138,3,400.0,240.0,159.0
BR0139,3,400.0,300.0,293.0
BR0140,3,400.0,300.0,257.0
BR0141,3,400.0,300.0,257.0
BR0142,3,400.0,300.0,342.0
BR0143,3,400.0,300.0,257.0
BR0144,3,400.0,277.0,225.0
BR0145,3,400.0,300.0,180.0
BR0146,3,400.0,300.0,180.0
BR0147,3,400.0,300.0,223.0
BR0148,3,400.0,300.0,200.0
BR0149,3,400.0,300.0,180.0
BR0150,3,400.0,300.0,200.0
BR0151,3,400.0,300.0,225.0
BR0152,3,400.0,300.0,223.0
BR0153,3,400.0,300.0,252.0
BR0154,3,400.0,300.0,225.0
BR0155,3,400.0,300.0,223.0
BR0156,3,400.0,300.0,180.0
BR0157,3,400.0,300.0,252.0
BR0158,3,400.0,300.0,180.0
BR0159,3,400.0,299.0,163.0
BR0160,3,400.0,299.0,163.0
BR0161,3,400.0,300.0,200.0
BR0162,3,400.0,300.0,225.0
BR0163,3,400.0,300.0,225.0
BR0164,3,400.0,300.0,150.0
BR0165,3,400.0,300.0,200.0
BR0166,3,400.0,300.0,150.0
BR0167,3,400.0,300.0,163.0
BR0168,3,400.0,300.0,200.0
BR0169,3,400.0,300.0,225.0
BR0170,3,400.0,300.0,150.0
BR0171,3,400.0,300.0,163.0
BR0172,3,400.0,300.0,225.0
BR0173,3,400.0,300.0,225.0
BR0174,3,400.0,300.0,163.0
BR0175,3,400.0,300.0,300.0
BR0176,3,400.0,277.0,180.0
BR0177,3,400.0,277.0,180.0
BR0178,3,400.0,271.0,180.0
BR0179,3,400.0,300.0,150.0
BR0180,3,400.0,277.0,180.0
BR0181,3,400.0,277.0,180.0
BR0182,3,400.0,300.0,257.0
BR0183,3,400.0,277.0,225.0
BR0184,3,400.0,300.0,200.0
BR0185,3,400.0,277.0,293.0
BR0186,3,400.0,300.0,223.0
BR0187,3,400.0,277.0,300.0
BR0188,3,400.0,300.0,200.0
BR0189,3,400.0,277.0,257.0
BR0190,3,400.0,277.0,257.0
BR0191,3,400.0,277.0,225.0
BR0192,3,400.0,240.0,217.0
BR0193,3,400.0,277.0,300.0
BR0194,3,400.0,300.0,300.0
BR0195,3,400.0,300.0,300.0
BR0196,3,400.0,300.0,291.0
BR0197,3,400.0,300.0,200.0
BR0198,3,400.0,300.0,200.0
BR0199,3,400.0,300.0,225.0
BR0200,3,400.0,300.0,180.0
BR0201,3,400.0,300.0,225.0
BR0202,3,400.0,300.0,180.0
BR0203,3,400.0,277.0,225.0
BR0204,3,400.0,277.0,225.0
BR0205,3,400.0,300.0,225.0
BR0206,3,400.0,300.0,200.0
BR0207,3,400.0,300.0,200.0
BR0208,3,400.0,277.0,256.0
BR0209,3,400.0,300.0,180.0
BR0209XL,3,400.0,300.0,200.0
BR0210,3,400.0,300.0,180.0
BR0211,3,400.0,300.0,180.0
BR0212,3,400.0,300.0,360.0
BR0213,3,400.0,300.0,212.0
BR0214,3,400.0,300.0,195.0
BR0215,3,400.0,300.0,195.0
BR0216,3,400.0,271.0,180.0
BR0217,3,400.0,300.0,174.0
BR0218,3,400.0,300.0,180.0
BR0219,3,400.0,300.0,174.0
BR0220,3,400.0,277.0,180.0
BR0221,3,400.0,277.0,180.0
BR0222,3,400.0,277.0,200.0
BR0223,3,400.0,277.0,180.0
BR0224,3,400.0,277.0,150.0
BR0225,3,400.0,240.0,169.0
BR0226,3,400.0,277.0,180.0
BR0227,3,400.0,240.0,196.0
BR0228,3,400.0,277.0,180.0
BR0229,3,400.0,277.0,200.0
BR0230,3,400.0,300.0,150.0
BR0231,3,400.0,300.0,180.0
BR0232,3,400.0,300.0,257.0
BR0233,3,400.0,300.0,300.0
BR0234,3,400.0,277.0,180.0
BR0235,3,400.0,277.0,257.0
BR0236,3,400.0,277.0,257.0
BR0237,3,400.0,300.0,249.0
BR0238,3,400.0,300.0,257.0
BR0239,3,400.0,240.0,269.0
BR0240,3,400.0,240.0,269.0
BR0241,3,400.0,300.0,257.0
BR0242,3,400.0,300.0,257.0
BR0243,3,400.0,300.0,300.0
BR0244,3,400.0,300.0,257.0
BR0245,3,400.0,240.0,256.0
BR0246,3,400.0,240.0,257.0
BR0247,3,400.0,277.0,300.0
BR0248,3,400.0,286.0,357.0
BR0249,3,400.0,300.0,300.0
BR0250,3,400.0,300.0,300.0
BR0251,3,400.0,277.0,347.0
BR0252,3,400.0,277.0,347.0
BR0253,3,400.0,286.0,357.0
BR0254,3,400.0,286.0,357.0
BR0255,3,400.0,291.0,360.0
BR0256,3,400.0,291.0,360.0
BR0257,3,400.0,300.0,300.0
BR0258,3,400.0,300.0,300.0
BR0259,3,394.0,239.0,264.0
BR0260,3,400.0,277.0,225.0
BR0261,3,400.0,277.0,200.0
BR0262,3,400.0,277.0,200.0
BR0263,3,400.0,240.0,212.0
BR0264,3,400.0,240.0,217.0
BR0265,3,400.0,240.0,200.0
BR0266,3,400.0,300.0,271.0
BR0267,3,400.0,277.0,300.0
BR0268,3,400.0,300.0,180.0
BR0269,3,400.0,300.0,200.0
BR0270,3,400.0,300.0,200.0
BR0271,3,400.0,300.0,200.0
BR0272,3,400.0,300.0,257.0
BR0273,3,400.0,300.0,225.0
BR0274,3,400.0,300.0,257.0
BR0275,3,400.0,300.0,180.0
BR0276,3,400.0,299.0,163.0
BR0277,3,400.0,300.0,300.0
BR0278,3,400.0,300.0,300.0
BR0279,3,400.0,300.0,257.0
BR0280,3,400.0,300.0,257.0
BR0281,3,400.0,300.0,225.0
BR0282,3,400.0,300.0,271.0
BR0283,3,400.0,300.0,225.0
BR0284,3,400.0,300.0,225.0
BR0285,3,400.0,300.0,180.0
BR0286,3,400.0,300.0,180.0
BR0287,3,400.0,300.0,300.0
BR0288,3,400.0,240.0,233.0
BR0289,3,400.0,240.0,217.0
BR0290,3,400.0,300.0,300.0
BR0291,3,400.0,300.0,200.0
BR0292,3,400.0,300.0,293.0
BR0293,3,400.0,300.0,225.0
BR0294,3,400.0,300.0,190.0
BR0295,3,400.0,300.0,238.0
BR0296,3,400.0,300.0,244.0
BR0297,3,400.0,300.0,150.0
BR0298,3,400.0,300.0,150.0
BR0299,3,400.0,300.0,225.0
BR0300,3,400.0,240.0,225.0
BR0301,3,400.0,240.0,273.0
BR0302,3,400.0,240.0,225.0
BR0303,3,400.0,240.0,159.0
BR0304,3,400.0,271.0,180.0
BR0305,3,400.0,300.0,257.0
BR0306,3,400.0,300.0,257.0
BR0307,3,400.0,300.0,257.0
BR0308,3,400.0,300.0,225.0
BR0309,3,400.0,300.0,180.0
BR0310,3,400.0,277.0,300.0
BR0310XL,3,400.0,300.0,271.0
BR0311,3,400.0,300.0,223.0
BR0312,3,400.0,300.0,223.0
BR0313,3,400.0,300.0,223.0
BR0314,3,400.0,300.0,180.0
BR0314XL,3,400.0,300.0,180.0
BR0315,3,400.0,300.0,180.0
BR0316,3,400.0,300.0,163.0
BR0317,3,400.0,300.0,163.0
BR0318,3,400.0,300.0,200.0
BR0319,3,400.0,300.0,163.0
BR0320,3,400.0,300.0,225.0
BR0321,3,400.0,240.0,258.0
BR0322,3,400.0,300.0,225.0
BR0323,3,400.0,300.0,249.0
BR0324,3,400.0,240.0,207.0
BR0325,3,400.0,277.0,257.0
BR0326,3,400.0,240.0,280.0
BR0327,3,400.0,240.0,291.0
BR0328,3,400.0,240.0,233.0
BR0329,3,400.0,240.0,244.0
BR0330,3,400.0,240.0,233.0
BR0331,3,400.0,240.0,244.0
BR0332,3,400.0,277.0,257.0
BR0333,3,400.0,300.0,225.0
BR0334,3,400.0,277.0,256.0
BR0335,3,400.0,277.0,256.0
BR0336,3,400.0,300.0,200.0
BR0337,3,400.0,240.0,225.0
BR0338,3,400.0,300.0,180.0
BR0339,3,400.0,240.0,269.0
BR0340,3,400.0,277.0,225.0
BR0340XL,3,400.0,277.0,256.0
BR0341,3,400.0,240.0,233.0
BR0342,3,400.0,277.0,256.0
BR0343,3,400.0,277.0,347.0
BR0344,3,400.0,277.0,300.0
BR0345,3,400.0,300.0,342.0
BR0346,3,400.0,300.0,257.0
BR0347,3,400.0,277.0,256.0
BR0348,3,400.0,300.0,300.0
BR0349,3,400.0,300.0,257.0
BR0350,3,400.0,300.0,225.0
BR0351,3,400.0,300.0,225.0
BR0352,3,400.0,277.0,300.0
BR0353,3,396.0,239.0,265.0
BR0354,3,400.0,277.0,293.0
BR0355,3,400.0,277.0,200.0
BR0356,3,400.0,277.0,257.0
BR0357,3,400.0,240.0,249.0
BR0358,3,400.0,300.0,257.0
BR0359,3,400.0,240.0,248.0
BR0360,3,400.0,300.0,200.0
BR0361,3,400.0,299.0,163.0
BR0362,3,400.0,300.0,282.0
BR0363,3,400.0,300.0,291.0
BR0364,3,400.0,300.0,238.0
BR0365,3,400.0,300.0,180.0
BR0366,3,400.0,300.0,225.0
BR0367,3,400.0,300.0,200.0
BR0368,3,400.0,300.0,200.0
BR0369,3,400.0,300.0,282.0
BR0370,3,400.0,300.0,244.0
BR0371,3,400.0,300.0,257.0
BR0372,3,400.0,300.0,271.0
BR0373,3,400.0,300.0,300.0
BR0374,3,400.0,300.0,257.0
BR0375,3,400.0,300.0,257.0
BR0376,3,400.0,300.0,257.0
BR0377,3,400.0,300.0,257.0
BR0378,3,400.0,277.0,257.0
BR0379,3,400.0,277.0,257.0
BR0380,3,400.0,277.0,257.0
BR0381,3,400.0,277.0,225.0
BR0382,3,400.0,277.0,225.0
BR0383,3,400.0,277.0,225.0
BR0384,3,400.0,277.0,225.0
BR0385,3,400.0,277.0,225.0
BR0386,3,400.0,300.0,225.0
BR0387,3,400.0,300.0,200.0
BR0388,3,400.0,240.0,244.0
BR0389,3,400.0,277.0,225.0
BR0390,3,400.0,277.0,257.0
BR0391,3,400.0,277.0,200.0
BR0392,3,400.0,300.0,180.0
BR0393,3,400.0,277.0,200.0
BR0394,3,400.0,240.0,212.0
BR0395,3,400.0,240.0,207.0
BR0396,3,400.0,300.0,225.0
BR0397,3,400.0,300.0,225.0
BR0398,3,400.0,300.0,225.0
BR0399,3,400.0,300.0,300.0
BR0400,3,400.0,300.0,300.0
BR0401,3,400.0,300.0,212.0
BR0402,3,400.0,300.0,180.0
BR0403,3,400.0,240.0,344.0
BR0404,3,400.0,240.0,254.0
BR0405,3,400.0,300.0,180.0
BR0406,3,400.0,300.0,300.0
BR0407,3,400.0,300.0,257.0
BR0408,3,400.0,300.0,300.0
BR0409,3,400.0,240.0,254.0
BR0410,3,400.0,300.0,300.0
BR0411,3,400.0,300.0,223.0
BR0412,3,400.0,300.0,225.0
BR0413,3,400.0,300.0,257.0
BR0414,3,400.0,300.0,180.0
BR0415,3,400.0,240.0,275.0
BR0416,3,400.0,300.0,180.0
BR0417,3,400.0,240.0,254.0
BR0418,3,400.0,240.0,254.0
BR0419,3,400.0,300.0,190.0
BR0420,3,400.0,277.0,200.0
BR0421,3,400.0,277.0,225.0
