codigo_producto,cantidad_cajas_asignables
BR0045,1
BR0058,1
BR0122,1
BR0224,1
BR0345,1
BR0124,1
BR0212,2
BR0044,3
BR0109,3
BR0121,3
BR0142,3
BR0043,3
BR0046,3
BR0047,3
BR0252,3
BR0251,3
BR0343,3
BR0138,3
BR0303,3
BR0247,4
BR0221,4
BR0267,4
BR0255,4
BR0225,4
BR0108,5
BR0137,5
BR0344,5
BR0310,5
BR0081,5
BR0256,5
BR0352,5
BR0193,5
BR0193,5
BR0167,5
BR0185,5
BR0187,5
BR0220,6
BR0076,6
BR0354,6
BR0228,6
BR0195,6
BR0195,6
BR0176,6
BR0216,6
BR0177,6
BR0080,6
BR0223,6
BR0226,6
BR0234,6
BR0085,6
BR0290,6
BR0233,6
BR0181,6
BR0007,6
BR0408,6
BR0406,6
BR0297,6
BR0180,6
BR0170,6
BR0166,6
BR0403,6
BR0230,6
BR0001,6
BR0227,7
BR0178,7
BR0399,7
BR0023,7
BR0179,7
BR0298,7
BR0304,7
BR0236,7
BR0235,7
BR0265,8
BR0262,8
BR0079,8
BR0261,8
BR0019,8
BR0042,8
BR0391,8
BR0393,8
BR0222,8
BR0229,8
BR0356,8
BR0194,8
BR0325,8
BR0084,8
BR0373,8
BR0129,9
BR0355,9
BR0107,9
BR0111,9
BR0096,9
BR0098,9
BR0112,9
BR0203,9
BR0348,9
BR0253,9
BR0260,9
BR0020,9
BR0070,9
BR0253,9
BR0248,9
BR0400,9
BR0254,9
BR0420,9
BR0332,9
BR0128,9
BR0332,9
BR0164,9
BR0327,9
BR0189,10
BR0190,10
BR0370,10
BR0324,10
BR0380,10
BR0250,10
BR0263,10
BR0082,10
BR0017,10
BR0004,10
BR0189,10
BR0258,10
BR0249,10
BR0257,10
BR0037,10
BR0039,10
BR0295,10
BR0296,10
BR0394,10
BR0395,10
BR0013,10
BR0175,10
BR0018,10
BR0204,11
BR0340,11
BR0093,11
BR0095,11
BR0094,11
BR0208,11
BR0342,11
BR0213,11
BR0118,11
BR0364,11
BR0092,11
BR0283,11
BR0067,11
BR0071,11
BR0072,11
BR0401,11
BR0041,11
BR0038,11
BR0040,11
BR0378,11
BR0379,11
BR0094,11
BR0110,11
BR0114,11
BR0326,11
BR0088,11
BR0191,11
BR0389,11
BR0034,11
BR0390,11
BR0334,11
BR0334,11
BR0335,11
BR0340,11
BR0024,11
BR0183,11
BR0421,11
